Bin,Count
[0.279 - 1.237],29.0
[1.237 - 2.195],44.0
[2.195 - 3.152],41.0
[3.152 - 4.11],42.0
[4.11 - 5.068],27.0
[5.068 - 6.025],21.0
[6.025 - 6.983],23.0
[6.983 - 7.941],12.0
[7.941 - 8.898],16.0
[8.898 - 9.856],21.0
[9.856 - 10.814],11.0
[10.814 - 11.771],11.0
[11.771 - 12.729],8.0
[12.729 - 13.686],12.0
[13.686 - 14.644],8.0
[14.644 - 15.602],7.0
[15.602 - 16.559],8.0
[16.559 - 17.517],4.0
[17.517 - 18.475],6.0
[18.475 - 19.432],6.0
[19.432 - 20.39],7.0
[20.39 - 21.348],5.0
[21.348 - 22.305],3.0
[22.305 - 23.263],3.0
[23.263 - 24.221],4.0
[24.221 - 25.178],7.0
[25.178 - 26.136],1.0
[26.136 - 27.094],1.0
[27.094 - 28.051],4.0
[28.051 - 29.009],3.0
[29.009 - 29.967],2.0
[29.967 - 30.924],8.0
[30.924 - 31.882],2.0
[31.882 - 32.84],2.0
[32.84 - 33.797],2.0
[34.755 - 35.713],1.0
[36.67 - 37.628],3.0
[37.628 - 38.586],1.0
[38.586 - 39.543],1.0
[39.543 - 40.501],1.0
[40.501 - 41.459],1.0
[42.416 - 43.374],1.0
[43.374 - 44.331],2.0
[45.289 - 46.247],1.0
[47.204 - 48.162],1.0
[51.993 - 52.95],2.0
[60.612 - 61.569],1.0
[63.485 - 64.442],2.0
[65.4 - 66.358],1.0
[67.315 - 68.273],1.0
[69.231 - 70.188],1.0
[70.188 - 71.146],1.0
[71.146 - 72.104],1.0
[74.019 - 74.976],1.0
[89.341 - 90.299],1.0
[95.087 - 96.045],1.0
