Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
65167,0,369,65536,0,0,9.999925e-07,1.9996446e-06,21.93738675619695,0.282613222303955,Platte_20220516_Maize_005_0000.png
64956,0,580,65050,0,486,nan,0.84229994,21.763976372171552,0.2560022173837116,Platte_20220516_Maize_005_0001.png
64841,0,695,65316,0,220,nan,0.46113813,21.39955955614626,0.2504574118272892,Platte_20220516_Maize_005_0002.png
65179,0,357,65398,0,138,nan,0.55743015,22.23302744208208,0.27847132825316423,Platte_20220516_Maize_005_0003.png
65307,0,229,65536,0,0,9.999925e-07,1.999428e-06,25.408632322411794,0.46644931380625937,Platte_20220516_Maize_005_0004.png
65397,0,139,65508,0,28,nan,0.33506832,24.166418403452816,0.37549241627261254,Platte_20220516_Maize_005_0005.png
63767,0,1769,64941,78,517,1.9983215e-06,0.4312984,22.246823896507124,0.2757117919879533,Platte_20220516_Maize_005_0006.png
64719,0,817,65022,0,514,nan,0.7001585,21.063000167707283,0.2262877383652342,Platte_20220516_Maize_005_0007.png
64652,0,884,64680,0,856,nan,0.85511017,22.129737831268507,0.2745493583082634,Platte_20220516_Maize_005_0008.png
63083,0,2453,63535,485,1516,1.99973e-06,0.6661428,21.91358534619297,0.3167246891282707,Platte_20220516_Maize_005_0009.png
60629,0,4907,61488,99,3949,1.9986778e-06,0.79922235,22.40455810407193,0.30591050216078025,Platte_20220516_Maize_005_0010.png
64778,0,758,64950,0,586,nan,0.77820003,21.852072871255615,0.2913872502111845,Platte_20220516_Maize_005_0011.png
65129,0,407,65401,12,123,1.9891954e-06,0.46403822,25.68877481763642,0.4501364141280428,Platte_20220516_Maize_005_0012.png
64935,0,601,65536,0,0,9.999925e-07,1.9997822e-06,27.205656421112785,0.5470848495981023,Platte_20220516_Maize_005_0013.png
64992,0,544,65202,0,334,nan,0.6764387,21.867824405588973,0.2521588207693369,Platte_20220516_Maize_005_0014.png
65077,0,459,65215,0,321,nan,0.7614126,21.873734590178362,0.29712981403275845,Platte_20220516_Maize_005_0015.png
64974,0,562,65106,0,430,nan,0.7720775,22.451414841843263,0.2862460858047382,Platte_20220516_Maize_005_0016.png
64622,0,914,64625,0,911,nan,0.7933699,21.747112460219448,0.274836155709911,Platte_20220516_Maize_005_0017.png
64532,0,1004,64946,590,0,1.999778e-06,1.9998693e-06,20.87228751835862,0.22760666751926684,Platte_20220516_Maize_005_0018.png
65284,0,252,65490,0,46,nan,0.3085911,22.737945723203843,0.2874037531871027,Platte_20220516_Maize_005_0019.png
64806,79,651,65172,0,364,1.9983424e-06,0.65607494,24.975996934039863,0.4051816504080788,Platte_20220516_Maize_005_0020.png
64717,0,819,64954,105,477,1.998753e-06,0.69437635,23.686632249024136,0.34638656006987006,Platte_20220516_Maize_005_0021.png
64148,0,1388,64899,0,637,nan,0.5945315,27.158341366077174,0.5185487494432314,Platte_20220516_Maize_005_0022.png
62090,0,3446,61831,0,3705,nan,0.9111867,22.658917441972036,0.2870438288766583,Platte_20220516_Maize_005_0023.png
64894,0,642,65236,0,300,nan,0.61562765,20.843019276270137,0.23199078791611058,Platte_20220516_Maize_005_0024.png
64424,0,1112,65208,0,328,nan,0.4041319,21.758583615734842,0.2633348046065855,Platte_20220516_Maize_005_0025.png
65341,0,195,65506,0,30,nan,0.2665134,20.817317680902462,0.23283319245101272,Platte_20220516_Maize_005_0026.png
64986,0,550,65317,0,219,nan,0.5486732,28.154881586387432,0.536775486965089,Platte_20220516_Maize_005_0027.png
65260,0,276,65536,0,0,9.999925e-07,1.9995248e-06,28.41818242677447,0.5900039791717401,Platte_20220516_Maize_005_0028.png
64885,0,651,65372,0,164,nan,0.3852162,20.950802041048124,0.23953355309025667,Platte_20220516_Maize_005_0029.png
64998,0,538,65093,0,443,nan,0.8357722,27.109277625799955,0.5025717233847353,Platte_20220516_Maize_005_0030.png
64874,0,662,65157,0,379,nan,0.64161193,20.805652983151838,0.22718080770497232,Platte_20220516_Maize_005_0031.png
65107,0,429,65354,0,182,nan,0.5792559,21.05976563898174,0.22337012911422002,Platte_20220516_Maize_005_0032.png
65359,0,177,65536,0,0,9.999925e-07,1.99926e-06,24.14620962117374,0.3734638330264081,Platte_20220516_Maize_005_0033.png
63149,0,2387,63132,0,2404,nan,0.90792966,23.983533791230236,0.34549911373604497,Platte_20220516_Maize_005_0034.png
64966,0,570,65458,0,78,nan,0.2376083,22.03280108062188,0.28691808793544,Platte_20220516_Maize_005_0035.png
