Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
65167,0,369,65363,0,173,nan,0.6382241,25.713361875070184,0.6839150223062367,Platte_20220516_Maize_005_0000.png
64956,0,580,65148,0,388,nan,0.7994807,24.93126474471746,0.6488624631757131,Platte_20220516_Maize_005_0001.png
64841,0,695,65189,0,347,nan,0.6582686,25.040239102160278,0.670946900012147,Platte_20220516_Maize_005_0002.png
65179,0,357,65328,0,208,nan,0.7254975,25.389053339419355,0.648808931129223,Platte_20220516_Maize_005_0003.png
65307,0,229,65425,0,111,nan,0.62917125,29.572041513583006,0.7770422771375977,Platte_20220516_Maize_005_0004.png
65397,0,139,65420,0,116,nan,0.79959106,27.618736296065627,0.7177677752552757,Platte_20220516_Maize_005_0005.png
63767,0,1769,64307,0,1229,nan,0.79649836,25.671669185018583,0.6680708598158405,Platte_20220516_Maize_005_0006.png
64719,0,817,65032,502,2,1.999739e-06,0.0048852228,24.19748110322925,0.6335379484367208,Platte_20220516_Maize_005_0007.png
64652,0,884,64813,0,723,nan,0.84498626,25.771282233205213,0.6779145100051337,Platte_20220516_Maize_005_0008.png
63083,0,2453,63591,0,1945,nan,0.8721906,26.021942229766132,0.7129364881644343,Platte_20220516_Maize_005_0009.png
60629,0,4907,61502,0,4034,nan,0.86588806,26.190044705469763,0.6944720502106602,Platte_20220516_Maize_005_0010.png
64778,0,758,65026,0,510,nan,0.7712158,25.659725487764003,0.6957112905183446,Platte_20220516_Maize_005_0011.png
65129,0,407,65253,0,283,nan,0.7766662,29.118387632719514,0.7423098101169742,Platte_20220516_Maize_005_0012.png
64935,0,601,65359,0,177,nan,0.4446572,31.280597436547612,0.8031014685780121,Platte_20220516_Maize_005_0013.png
64992,0,544,65157,0,379,nan,0.79078907,24.3335335768477,0.5927493836851614,Platte_20220516_Maize_005_0014.png
65077,0,459,65161,0,375,nan,0.82721025,24.857652539824805,0.6492169171600825,Platte_20220516_Maize_005_0015.png
64974,0,562,65106,0,430,nan,0.8244899,25.786176966026577,0.6693515818866285,Platte_20220516_Maize_005_0016.png
64622,0,914,64783,0,753,nan,0.85296446,25.434252841928753,0.676072205715974,Platte_20220516_Maize_005_0017.png
64532,0,1004,64877,0,659,nan,0.76121706,23.871793184295687,0.6257945633537064,Platte_20220516_Maize_005_0018.png
65284,0,252,65406,0,130,nan,0.6699292,25.434468207412166,0.6329096504404325,Platte_20220516_Maize_005_0019.png
64806,79,651,65111,0,425,1.9983424e-06,0.7842931,28.831630993576884,0.7365663975840677,Platte_20220516_Maize_005_0020.png
64717,0,819,64933,0,603,nan,0.83958733,27.129903535504116,0.6915221126342049,Platte_20220516_Maize_005_0021.png
64148,0,1388,64687,0,849,nan,0.75632805,30.82900104746802,0.7801357767508877,Platte_20220516_Maize_005_0022.png
62090,0,3446,62423,61,3052,1.9978559e-06,0.8990299,25.682529407703836,0.6540314614769508,Platte_20220516_Maize_005_0023.png
64894,0,642,65189,0,347,nan,0.6712984,24.126147673714172,0.6397630189186666,Platte_20220516_Maize_005_0024.png
64424,0,1112,64935,0,601,nan,0.67712474,24.977358831674962,0.6534717392504139,Platte_20220516_Maize_005_0025.png
65341,0,195,65457,0,79,nan,0.57636863,23.721878221273286,0.6120242962629745,Platte_20220516_Maize_005_0026.png
64986,0,550,65128,0,408,nan,0.7953004,31.05563419057949,0.7488471803106304,Platte_20220516_Maize_005_0027.png
65260,0,276,65536,0,0,9.999925e-07,1.9995248e-06,32.308995470195995,0.8181485422627158,Platte_20220516_Maize_005_0028.png
64885,0,651,65146,0,390,nan,0.7242144,23.817621113559294,0.6126426138864128,Platte_20220516_Maize_005_0029.png
64998,0,538,65122,0,414,nan,0.8339209,31.089362526089804,0.7854346790827959,Platte_20220516_Maize_005_0030.png
64874,0,662,65171,0,365,nan,0.65619874,23.86177334903219,0.6271452840328376,Platte_20220516_Maize_005_0031.png
65107,0,429,65320,0,216,nan,0.65413266,24.289217779182437,0.6358424612244026,Platte_20220516_Maize_005_0032.png
65359,0,177,65497,0,39,nan,0.3423868,28.01015212506695,0.7241240899502523,Platte_20220516_Maize_005_0033.png
63149,0,2387,63491,0,2045,nan,0.90475875,27.515629147772245,0.7001033089735419,Platte_20220516_Maize_005_0034.png
64966,0,570,65220,0,316,nan,0.70418686,25.2254630751438,0.6607274653401326,Platte_20220516_Maize_005_0035.png
63365,0,2171,63698,0,1838,nan,0.91142154,24.82136343507838,0.6551113457350025,Platte_20220516_Maize_005_0036.png
62821,0,2715,63387,0,2149,nan,0.86428815,34.20813209073628,0.8585307348943623,Platte_20220516_Maize_005_0037.png
60674,4862,0,62707,2829,0,0.73513454,nan,26.75896438528887,0.6940546325900309,Platte_20220516_Maize_005_0038.png
59004,6532,0,60806,4730,0,0.8374991,nan,25.601929631659225,0.6830869373459314,Platte_20220516_Maize_005_0039.png
