Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
65167,0,369,65370,0,166,nan,0.6204108,25.682727650452797,0.6796008977764426,Platte_20220516_Maize_005_0000.png
64956,0,580,65149,0,387,nan,0.80030733,24.873221664447076,0.6405606741327596,Platte_20220516_Maize_005_0001.png
64841,0,695,65197,0,339,nan,0.65175694,25.082626897667353,0.6719471206297518,Platte_20220516_Maize_005_0002.png
65179,0,357,65328,0,208,nan,0.7219585,25.39587875507777,0.6482090591636808,Platte_20220516_Maize_005_0003.png
65307,0,229,65425,0,111,nan,0.62917125,29.594627239472757,0.7777221136747312,Platte_20220516_Maize_005_0004.png
65397,0,139,65425,0,111,nan,0.8075786,27.628946999481844,0.7158551245901558,Platte_20220516_Maize_005_0005.png
63767,0,1769,64297,0,1239,nan,0.80049926,25.684622161056932,0.6691642317492602,Platte_20220516_Maize_005_0006.png
64719,0,817,65049,413,74,1.9996826e-06,0.16608307,24.16636316647739,0.6264181727728283,Platte_20220516_Maize_005_0007.png
64652,0,884,64807,0,729,nan,0.84680253,25.776306465469112,0.6800575734328178,Platte_20220516_Maize_005_0008.png
63083,0,2453,63586,0,1950,nan,0.8730171,26.026638640760726,0.7109834230224715,Platte_20220516_Maize_005_0009.png
60629,0,4907,61476,0,4060,nan,0.867169,26.198687589756968,0.6937687032230415,Platte_20220516_Maize_005_0010.png
64778,0,758,65025,0,511,nan,0.772184,25.6771634473952,0.6961758153694605,Platte_20220516_Maize_005_0011.png
65129,0,407,65256,0,280,nan,0.7829678,29.153481481335,0.7424139789773694,Platte_20220516_Maize_005_0012.png
64935,0,601,65367,0,169,nan,0.4310975,31.28153139390665,0.8016432421581191,Platte_20220516_Maize_005_0013.png
64992,0,544,65154,0,382,nan,0.7925465,24.367978675363734,0.5920952929018682,Platte_20220516_Maize_005_0014.png
65077,0,459,65147,0,389,nan,0.83713686,24.86262667051463,0.648824657090857,Platte_20220516_Maize_005_0015.png
64974,0,562,65110,0,426,nan,0.8197314,25.767747432241247,0.6658932114571502,Platte_20220516_Maize_005_0016.png
64622,0,914,64781,0,755,nan,0.85314065,25.465554605142387,0.6779511043256429,Platte_20220516_Maize_005_0017.png
64532,0,1004,64893,0,643,nan,0.7516121,23.844303662401632,0.6191989617926543,Platte_20220516_Maize_005_0018.png
65284,0,252,65409,0,127,nan,0.6646798,25.45687604079708,0.6320551543468844,Platte_20220516_Maize_005_0019.png
64806,79,651,65110,0,426,1.9983424e-06,0.7854218,28.82806405658301,0.7353293325734122,Platte_20220516_Maize_005_0020.png
64717,0,819,64926,0,610,nan,0.84107274,27.115193597290414,0.6916147945568408,Platte_20220516_Maize_005_0021.png
64148,0,1388,64684,0,852,nan,0.75888634,30.77628039058427,0.777130899809547,Platte_20220516_Maize_005_0022.png
62090,0,3446,62415,19,3102,1.9931497e-06,0.9068258,25.67088279785945,0.652252457764829,Platte_20220516_Maize_005_0023.png
64894,0,642,65193,0,343,nan,0.6679336,24.086015495564194,0.6341526457695816,Platte_20220516_Maize_005_0024.png
64424,0,1112,64946,0,590,nan,0.66740066,24.919452070467102,0.6461648757102891,Platte_20220516_Maize_005_0025.png
65341,0,195,65465,0,71,nan,0.5335736,23.666485323639222,0.6042578993511002,Platte_20220516_Maize_005_0026.png
64986,0,550,65132,0,404,nan,0.79025,31.016623791842775,0.745103404162044,Platte_20220516_Maize_005_0027.png
65260,0,276,65536,0,0,9.999925e-07,1.9995248e-06,32.26628463331575,0.8162677808005689,Platte_20220516_Maize_005_0028.png
64885,0,651,65153,0,383,nan,0.7155786,23.80723670546713,0.609381437622137,Platte_20220516_Maize_005_0029.png
64998,0,538,65127,0,409,nan,0.82354176,31.080487269174935,0.784181904130223,Platte_20220516_Maize_005_0030.png
64874,0,662,65189,0,347,nan,0.636193,23.827422049124806,0.6214435345028657,Platte_20220516_Maize_005_0031.png
65107,0,429,65322,0,214,nan,0.64994735,24.248626743361733,0.6299099196348101,Platte_20220516_Maize_005_0032.png
65359,0,177,65534,0,2,nan,0.022332015,27.96513910165963,0.7207284733520112,Platte_20220516_Maize_005_0033.png
63149,0,2387,63473,0,2063,nan,0.9091888,27.48671999365387,0.6979797836228792,Platte_20220516_Maize_005_0034.png
64966,0,570,65228,0,308,nan,0.6923817,25.20386768737525,0.6559036077228574,Platte_20220516_Maize_005_0035.png
63365,0,2171,63693,0,1843,nan,0.9127775,24.769416419324898,0.6482844067460466,Platte_20220516_Maize_005_0036.png
62821,0,2715,63383,0,2153,nan,0.8643996,34.1806357806261,0.8573820911673535,Platte_20220516_Maize_005_0037.png
60674,4862,0,62698,2838,0,0.7366129,nan,26.760459641201333,0.692384178153293,Platte_20220516_Maize_005_0038.png
59004,6532,0,60802,4734,0,0.8377343,nan,25.592973154064484,0.6796367667506575,Platte_20220516_Maize_005_0039.png
62836,2541,159,63464,2012,60,0.8653408,0.49285775,25.81446754212711,0.6899937811909918,Platte_20220516_Maize_005_0040.png
58115,7421,0,59620,5916,0,0.88415027,nan,27.232482402428015,0.7137906630830875,Platte_20220516_Maize_005_0041.png
57430,8106,0,59172,6364,0,0.8780869,nan,26.84852157305206,0.6965946009986798,Platte_20220516_Maize_005_0042.png
57364,7871,301,59087,5052,1397,0.76901066,0.09657875,25.74070750112551,0.7047203215927283,Platte_20220516_Maize_005_0043.png
56565,7588,1383,58074,5252,2210,0.8060685,0.63732916,27.44464252993943,0.7439304870327309,Platte_20220516_Maize_005_0044.png
55938,9598,0,58566,6954,16,0.8380816,1.9918748e-06,26.459615150653942,0.7072482703606645,Platte_20220516_Maize_005_0045.png
44969,20567,0,47202,10954,7380,0.6839242,1.9999823e-06,29.056453093545258,0.7645623266436948,Platte_20220516_Maize_005_0046.png
44072,21464,0,47874,9739,7923,0.61654276,1.9999834e-06,25.696047720426858,0.6837002854152942,Platte_20220516_Maize_005_0047.png
55316,10220,0,57113,8423,0,0.89738345,nan,26.74875139927375,0.7279730540166472,Platte_20220516_Maize_005_0048.png
57674,5963,1899,59235,4872,1429,0.89246935,0.8497281,25.67350731848981,0.6696963989835241,Platte_20220516_Maize_005_0049.png
59994,5542,0,60598,3906,1032,0.79275143,1.999873e-06,29.05608132863604,0.7385030888259624,Platte_20220516_Maize_005_0050.png
58522,7014,0,59737,5793,6,0.90012556,1.978622e-06,26.262979083510423,0.6947082544982329,Platte_20220516_Maize_005_0051.png
49962,15574,0,52374,12312,850,0.86480474,1.9998456e-06,29.03124937315105,0.7691449188772749,Platte_20220516_Maize_005_0052.png
58369,6595,572,59461,6062,13,0.88440466,0.04443649,26.284576868199284,0.6994593616603456,Platte_20220516_Maize_005_0053.png
54362,9133,2041,55828,5879,3829,0.7724441,0.5918117,24.891202681085815,0.6561275372477884,Platte_20220516_Maize_005_0054.png
52948,12588,0,55352,9590,594,0.8550788,1.999779e-06,28.43389072989818,0.7221909045584449,Platte_20220516_Maize_005_0055.png
51833,13703,0,53700,7058,4778,0.6714492,1.9999727e-06,26.427780357854694,0.7110126055811196,Platte_20220516_Maize_005_0056.png
59150,6386,0,60186,5350,0,0.9030254,nan,25.434704361885526,0.632511013289189,Platte_20220516_Maize_005_0057.png
55480,8209,1847,56773,7085,1678,0.9053168,0.83401364,30.4576993453422,0.7793867179762409,Platte_20220516_Maize_005_0058.png
