Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
65167,0,369,65355,0,181,nan,0.65075606,inf,1.0,Platte_20220516_Maize_005_0000.png
64956,0,580,65118,0,418,nan,0.83155626,inf,1.0,Platte_20220516_Maize_005_0001.png
64841,0,695,65126,0,410,nan,0.7257078,inf,1.0,Platte_20220516_Maize_005_0002.png
65179,0,357,65311,0,225,nan,0.7489743,inf,1.0,Platte_20220516_Maize_005_0003.png
65307,0,229,65428,0,108,nan,0.6110403,inf,1.0,Platte_20220516_Maize_005_0004.png
65397,0,139,65404,0,132,nan,0.79666466,inf,1.0,Platte_20220516_Maize_005_0005.png
63767,0,1769,64224,0,1312,nan,0.8126908,inf,1.0,Platte_20220516_Maize_005_0006.png
64719,0,817,64996,539,1,1.999757e-06,0.0024465958,inf,1.0,Platte_20220516_Maize_005_0007.png
64652,0,884,64789,0,747,nan,0.84971935,inf,1.0,Platte_20220516_Maize_005_0008.png
63083,0,2453,63522,0,2014,nan,0.8922972,inf,1.0,Platte_20220516_Maize_005_0009.png
60629,0,4907,61409,0,4127,nan,0.8753491,inf,1.0,Platte_20220516_Maize_005_0010.png
64778,0,758,65004,0,532,nan,0.787519,inf,1.0,Platte_20220516_Maize_005_0011.png
65129,0,407,65241,0,295,nan,0.7804832,inf,1.0,Platte_20220516_Maize_005_0012.png
64935,0,601,65342,0,194,nan,0.45024228,inf,1.0,Platte_20220516_Maize_005_0013.png
64992,0,544,65114,0,422,nan,0.81976664,inf,1.0,Platte_20220516_Maize_005_0014.png
65077,0,459,65096,0,440,nan,0.8185702,inf,1.0,Platte_20220516_Maize_005_0015.png
64974,0,562,65087,0,449,nan,0.8406448,inf,1.0,Platte_20220516_Maize_005_0016.png
64622,0,914,64753,0,783,nan,0.8579205,inf,1.0,Platte_20220516_Maize_005_0017.png
64532,0,1004,64818,0,718,nan,0.7978509,inf,1.0,Platte_20220516_Maize_005_0018.png
65284,0,252,65400,0,136,nan,0.6956434,inf,1.0,Platte_20220516_Maize_005_0019.png
64806,79,651,65088,0,448,1.9983424e-06,0.80609345,inf,1.0,Platte_20220516_Maize_005_0020.png
64717,0,819,64916,0,620,nan,0.8491257,inf,1.0,Platte_20220516_Maize_005_0021.png
64148,0,1388,64648,0,888,nan,0.7732441,inf,1.0,Platte_20220516_Maize_005_0022.png
62090,0,3446,62484,0,3052,nan,0.9036465,inf,1.0,Platte_20220516_Maize_005_0023.png
64894,0,642,65155,0,381,nan,0.70372427,inf,1.0,Platte_20220516_Maize_005_0024.png
64424,0,1112,64852,0,684,nan,0.73046094,inf,1.0,Platte_20220516_Maize_005_0025.png
65341,0,195,65393,0,143,nan,0.7334455,inf,1.0,Platte_20220516_Maize_005_0026.png
64986,0,550,65098,0,438,nan,0.81973153,inf,1.0,Platte_20220516_Maize_005_0027.png
65260,0,276,65536,0,0,9.999925e-07,1.9995248e-06,inf,1.0,Platte_20220516_Maize_005_0028.png
64885,0,651,65105,0,431,nan,0.7559179,inf,1.0,Platte_20220516_Maize_005_0029.png
64998,0,538,65115,0,421,nan,0.8403461,inf,1.0,Platte_20220516_Maize_005_0030.png
64874,0,662,65153,0,383,nan,0.6736018,inf,1.0,Platte_20220516_Maize_005_0031.png
65107,0,429,65292,0,244,nan,0.7101164,inf,1.0,Platte_20220516_Maize_005_0032.png
65359,0,177,65534,0,2,nan,0.02233201,inf,1.0,Platte_20220516_Maize_005_0033.png
63149,0,2387,63522,0,2014,nan,0.8979531,inf,1.0,Platte_20220516_Maize_005_0034.png
64966,0,570,65169,0,367,nan,0.7640361,inf,1.0,Platte_20220516_Maize_005_0035.png
