Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16354,0,30,nan,0.4916732,27.604301537726705,0.8058956952572599,Platte_20220516_Maize_005_0000.png
16238,0,146,16284,0,100,nan,0.8047727,26.982676265155213,0.776048273324056,Platte_20220516_Maize_005_0001.png
16211,0,173,16304,0,80,nan,0.59281045,26.77589378608299,0.7707767595080662,Platte_20220516_Maize_005_0002.png
16294,0,90,16338,0,46,nan,0.6322026,27.525304483736296,0.7672035708492158,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,31.317529835330102,0.8626080527621843,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,29.397735274178064,0.8076490169524412,Platte_20220516_Maize_005_0005.png
15943,0,441,16091,39,254,1.9991603e-06,0.68198436,27.660689022892406,0.7735517442400068,Platte_20220516_Maize_005_0006.png
16183,0,201,16213,0,171,nan,0.77412736,26.448999049056514,0.7680927764446089,Platte_20220516_Maize_005_0007.png
16164,0,220,16175,0,209,nan,0.86240697,27.6459774726607,0.7774665757301453,Platte_20220516_Maize_005_0008.png
15776,0,608,15815,0,569,nan,0.8478971,27.68167841065472,0.8234642120191623,Platte_20220516_Maize_005_0009.png
15156,0,1228,15277,0,1107,nan,0.86679935,27.965592018974952,0.7948062875137069,Platte_20220516_Maize_005_0010.png
16196,0,188,16252,0,132,nan,0.7499251,27.479516779415928,0.7956048361069693,Platte_20220516_Maize_005_0011.png
16284,0,100,16330,0,54,nan,0.7011516,31.026795177542503,0.8342990389792865,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,32.60843107213374,0.8655553226493321,Platte_20220516_Maize_005_0013.png
16248,0,136,16272,0,112,nan,0.77409333,27.253117781766022,0.7346075852479202,Platte_20220516_Maize_005_0014.png
16268,0,116,16251,0,133,nan,0.8272023,27.30075028939752,0.7658988343130613,Platte_20220516_Maize_005_0015.png
16244,0,140,16277,0,107,nan,0.7529383,28.14821306323625,0.7999260653910252,Platte_20220516_Maize_005_0016.png
16154,0,230,16141,0,243,nan,0.8329253,27.418349185331916,0.7819380121380091,Platte_20220516_Maize_005_0017.png
16136,0,248,16188,0,196,nan,0.76120704,26.183605024869276,0.7615644201501004,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,28.28907079350951,0.7750020991078208,Platte_20220516_Maize_005_0019.png
16204,16,164,16280,0,104,1.9979564e-06,0.7014086,30.447368441624,0.811828043249259,Platte_20220516_Maize_005_0020.png
16173,0,211,16222,0,162,nan,0.80422074,29.048364829222987,0.7875332263212634,Platte_20220516_Maize_005_0021.png
16042,0,342,16200,0,184,nan,0.65015167,32.4865208413955,0.8516743638754475,Platte_20220516_Maize_005_0022.png
15521,0,863,15446,0,938,nan,0.903928,27.97658111566311,0.760185024215283,Platte_20220516_Maize_005_0023.png
16224,0,160,16307,0,77,nan,0.6328259,26.269304233879662,0.7710192201717495,Platte_20220516_Maize_005_0024.png
16101,0,283,16237,0,147,nan,0.6185595,26.848929518492824,0.7687884092243098,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,26.019103835567368,0.7474184091741948,Platte_20220516_Maize_005_0026.png
16248,0,136,16316,0,68,nan,0.6175497,33.143456181002925,0.8315418738521991,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,33.84017355722895,0.8743110916356086,Platte_20220516_Maize_005_0028.png
16222,0,162,16343,0,41,nan,0.38417643,26.391036869251884,0.7471360738297582,Platte_20220516_Maize_005_0029.png
16249,0,135,16260,0,124,nan,0.91880465,32.49039604594021,0.846695433002839,Platte_20220516_Maize_005_0030.png
16222,0,162,16301,0,83,nan,0.59584063,26.118809465808326,0.7569619456926429,Platte_20220516_Maize_005_0031.png
16279,0,105,16328,0,56,nan,0.6830927,26.36686141493953,0.7571753096968586,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,29.58517972800058,0.8096813364966574,Platte_20220516_Maize_005_0033.png
15792,0,592,15765,0,619,nan,0.9000602,29.25724823920428,0.7857369694716235,Platte_20220516_Maize_005_0034.png
16244,0,140,16352,0,32,nan,0.34877276,27.373590955797255,0.7805647675506195,Platte_20220516_Maize_005_0035.png
15842,0,542,15857,0,527,nan,0.9447811,26.77122013024257,0.7657472136014162,Platte_20220516_Maize_005_0036.png
15700,0,684,15774,0,610,nan,0.8655134,35.158098533177636,0.9002511151571376,Platte_20220516_Maize_005_0037.png
15170,1214,0,15641,666,77,0.69892603,1.9995748e-06,28.56221824852618,0.7978733034412064,Platte_20220516_Maize_005_0038.png
14758,1626,0,15096,1288,0,0.86203784,nan,27.660585943973008,0.8082149550864616,Platte_20220516_Maize_005_0039.png
15711,634,39,15847,151,386,0.35412738,0.032940637,27.81012962586702,0.8065784792608149,Platte_20220516_Maize_005_0040.png
14539,1845,0,14768,1616,0,0.9147581,nan,28.797791578082293,0.8128256772139176,Platte_20220516_Maize_005_0041.png
14348,2036,0,14680,1704,0,0.8994597,nan,28.83153313422803,0.8000054352683881,Platte_20220516_Maize_005_0042.png
14351,1954,79,14707,1677,0,0.8796417,1.9995853e-06,27.444909611327972,0.7991781060502706,Platte_20220516_Maize_005_0043.png
14145,1896,343,14419,1796,169,0.79739493,0.097651996,28.83948431761737,0.8310840331313446,Platte_20220516_Maize_005_0044.png
13971,2413,0,14468,1420,496,0.7325813,1.999934e-06,28.172278078231336,0.8128775720837474,Platte_20220516_Maize_005_0045.png
11262,5122,0,11453,398,4533,0.14239247,1.9999934e-06,30.70919389790184,0.8484344184443836,Platte_20220516_Maize_005_0046.png
11037,5347,0,11533,2838,2013,0.67758024,1.9999839e-06,28.251730343158368,0.8146319239628562,Platte_20220516_Maize_005_0047.png
13829,2555,0,14117,2267,0,0.9191165,nan,28.45548056951636,0.8330288001961043,Platte_20220516_Maize_005_0048.png
14422,1493,469,14707,1375,302,0.88423204,0.75223994,28.24583167871932,0.7886737630547486,Platte_20220516_Maize_005_0049.png
14991,1393,0,15107,453,824,0.4821171,1.99996e-06,30.86418405313312,0.8255066184570875,Platte_20220516_Maize_005_0050.png
14633,1751,0,14790,1586,8,0.90979254,1.995921e-06,28.057269506142642,0.8065890456728066,Platte_20220516_Maize_005_0051.png
12493,3891,0,12813,2585,986,0.76250595,1.999967e-06,30.784477754548995,0.851059889307974,Platte_20220516_Maize_005_0052.png
14593,1650,141,14747,1637,0,0.88347375,1.9997676e-06,28.40034198582858,0.8132818957128932,Platte_20220516_Maize_005_0053.png
13582,2294,508,13790,1689,905,0.8250018,0.6666534,27.499675620343726,0.7794030337274277,Platte_20220516_Maize_005_0054.png
13246,3138,0,13639,2668,77,0.8759876,1.9995744e-06,30.11852926907474,0.8187501300501174,Platte_20220516_Maize_005_0055.png
12977,3407,0,13104,338,2942,0.17890567,1.9999893e-06,28.259725429591,0.8127927498487338,Platte_20220516_Maize_005_0056.png
14789,1595,0,14905,1479,0,0.912159,nan,27.95387136257897,0.7569370066782318,Platte_20220516_Maize_005_0057.png
13870,2051,463,14014,1915,455,0.9001461,0.7973592,32.10583661647348,0.8586313157709276,Platte_20220516_Maize_005_0058.png
14213,2171,0,14566,1475,343,0.78880465,1.9999045e-06,26.397144497229178,0.7962574444289056,Platte_20220516_Maize_005_0059.png
14439,1707,238,14773,1581,30,0.8582661,1.9998777e-06,28.576796566952144,0.8107263966836968,Platte_20220516_Maize_005_0060.png
14110,2274,0,14153,2231,0,0.9238578,nan,33.30426505703442,0.8808415958290619,Platte_20220516_Maize_005_0061.png
14453,1779,152,14660,1663,61,0.8535676,1.9998463e-06,29.182084529835613,0.8329229534414763,Platte_20220516_Maize_005_0062.png
14498,1886,0,14753,1625,6,0.90059197,1.994569e-06,27.66521104411074,0.7929666383577824,Platte_20220516_Maize_005_0063.png
16237,0,147,16291,0,93,nan,0.7082385,27.74071826243962,0.7847951963134304,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,28.504512722835642,0.7863772803699088,Platte_20220516_Maize_049_0001.png
16236,0,148,16332,0,52,nan,0.5199168,29.48855739272513,0.8141280478664482,Platte_20220516_Maize_049_0002.png
16073,0,311,16208,0,176,nan,0.6611484,29.246954644825735,0.7842039241696798,Platte_20220516_Maize_049_0003.png
16308,0,76,16384,0,0,9.999696e-07,1.9995691e-06,31.331995636178295,0.8590902343816568,Platte_20220516_Maize_049_0004.png
16214,0,170,16303,0,81,nan,0.6294019,29.68459081491074,0.8422911884591588,Platte_20220516_Maize_049_0005.png
16041,0,343,16150,0,234,nan,0.79718375,26.475173039783286,0.7354004452568347,Platte_20220516_Maize_049_0006.png
16208,0,176,16229,0,155,nan,0.7854226,30.302084455432556,0.8235557114769091,Platte_20220516_Maize_049_0007.png
16183,0,201,16299,0,85,nan,0.58035505,29.296050359565115,0.7980070378049392,Platte_20220516_Maize_049_0008.png
16045,0,339,16073,0,311,nan,0.8368828,27.171787217225386,0.7844039444810947,Platte_20220516_Maize_049_0009.png
16344,0,40,16384,0,0,9.999696e-07,1.9991814e-06,31.960272645967045,0.827136940958335,Platte_20220516_Maize_049_0010.png
16342,0,42,16384,0,0,9.999696e-07,1.99922e-06,32.05597631389642,0.84825664096771,Platte_20220516_Maize_049_0011.png
16202,0,182,16277,0,107,nan,0.67812586,26.610690618458605,0.7598737578910942,Platte_20220516_Maize_049_0012.png
16350,0,34,16384,0,0,9.999696e-07,1.9990375e-06,28.06749443819625,0.8092689804764284,Platte_20220516_Maize_049_0013.png
16360,0,24,16384,0,0,9.999696e-07,1.9986364e-06,26.843109770140963,0.7381030501877693,Platte_20220516_Maize_049_0014.png
16276,0,108,16349,0,35,nan,0.46143463,26.32325747373203,0.7501764637532243,Platte_20220516_Maize_049_0015.png
15982,0,402,16146,0,238,nan,0.71559024,27.264407734789398,0.7796148456759328,Platte_20220516_Maize_049_0016.png
16189,0,195,16228,0,156,nan,0.7634634,26.93597339580529,0.7184337919960013,Platte_20220516_Maize_049_0017.png
16015,0,369,16060,0,324,nan,0.90039235,33.84771722111679,0.8659066571208512,Platte_20220516_Maize_049_0018.png
16106,0,278,16167,0,217,nan,0.78782856,34.88668194447548,0.8930608602791006,Platte_20220516_Maize_049_0019.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,26.89278083290209,0.7283806131200746,Platte_20220516_Maize_049_0020.png
16304,0,80,16384,0,0,9.999696e-07,1.9995905e-06,33.17733559817134,0.8653994486894171,Platte_20220516_Maize_049_0021.png
16309,0,75,16384,0,0,9.999696e-07,1.9995634e-06,30.83713220444277,0.8344680467686757,Platte_20220516_Maize_049_0022.png
15933,0,451,16019,0,365,nan,0.767128,31.191581036519533,0.8370424640448197,Platte_20220516_Maize_049_0023.png
16050,0,334,16160,0,224,nan,0.6881336,26.881547455374466,0.7458142275503766,Platte_20220516_Maize_049_0024.png
16140,0,244,16196,0,188,nan,0.80086726,28.145105694567082,0.7879666712140506,Platte_20220516_Maize_049_0025.png
16213,0,171,16244,0,140,nan,0.810206,27.628148312544752,0.7736031606035344,Platte_20220516_Maize_049_0026.png
16316,0,68,16384,0,0,9.999696e-07,1.9995184e-06,29.16438172906249,0.805993382990915,Platte_20220516_Maize_049_0027.png
16293,0,91,16384,0,0,9.999696e-07,1.99964e-06,33.27888304266831,0.8693675601465398,Platte_20220516_Maize_049_0028.png
16183,0,201,16214,0,170,nan,0.80855584,27.167895031295473,0.745674986290077,Platte_20220516_Maize_049_0029.png
16151,0,233,16208,0,176,nan,0.8312313,33.579971562031915,0.8784780637162491,Platte_20220516_Maize_049_0030.png
