Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16352,0,32,nan,0.5159946,28.93693978542754,0.8726425103530596,Platte_20220516_Maize_005_0000.png
16238,0,146,16275,0,109,nan,0.8234254,27.893903545812115,0.8412752294405988,Platte_20220516_Maize_005_0001.png
16211,0,173,16302,0,82,nan,0.61168796,28.476302770416005,0.8620438348774339,Platte_20220516_Maize_005_0002.png
16294,0,90,16330,0,54,nan,0.66651684,28.868813407895686,0.8472427743987975,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,32.84632521708004,0.9126046290489013,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,30.579503612329884,0.8703769996657075,Platte_20220516_Maize_005_0005.png
15943,0,441,16037,0,347,nan,0.8121511,29.239952165721395,0.8602239284427862,Platte_20220516_Maize_005_0006.png
16183,0,201,16202,0,182,nan,0.77800333,27.324267804670598,0.8354776926355304,Platte_20220516_Maize_005_0007.png
16164,0,220,16188,0,196,nan,0.84608924,29.402475246233607,0.8667853465440336,Platte_20220516_Maize_005_0008.png
15776,0,608,15800,0,584,nan,0.8623946,29.309864285263245,0.8875943141857946,Platte_20220516_Maize_005_0009.png
15156,0,1228,15274,0,1110,nan,0.86739796,29.606643318062176,0.8738115868195356,Platte_20220516_Maize_005_0010.png
16196,0,188,16255,0,129,nan,0.73809594,28.92321941565391,0.8702256018606102,Platte_20220516_Maize_005_0011.png
16284,0,100,16305,0,79,nan,0.8266663,32.23166149387494,0.8853143017948667,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,34.2404196275458,0.9127191646569935,Platte_20220516_Maize_005_0013.png
16248,0,136,16267,0,117,nan,0.79041344,28.46872245721602,0.821971607581225,Platte_20220516_Maize_005_0014.png
16268,0,116,16259,0,125,nan,0.821467,28.68866157400115,0.8501586247647831,Platte_20220516_Maize_005_0015.png
16244,0,140,16278,0,106,nan,0.7478696,29.344786536497658,0.8661475806371149,Platte_20220516_Maize_005_0016.png
16154,0,230,16138,0,246,nan,0.83607894,29.061180836150434,0.8633973787145753,Platte_20220516_Maize_005_0017.png
16136,0,248,16184,0,200,nan,0.77226686,27.100286767521197,0.8325369512217007,Platte_20220516_Maize_005_0018.png
16320,0,64,16367,0,17,nan,0.4195853,29.524534910922128,0.8532576118535243,Platte_20220516_Maize_005_0019.png
16204,16,164,16260,0,124,1.9979564e-06,0.7568603,32.13709219928742,0.8817780507739519,Platte_20220516_Maize_005_0020.png
16173,0,211,16219,0,165,nan,0.79780483,30.616254862221744,0.8646290608796292,Platte_20220516_Maize_005_0021.png
16042,0,342,16145,0,239,nan,0.7676007,33.768149983154856,0.8980233504123366,Platte_20220516_Maize_005_0022.png
15521,0,863,15462,0,922,nan,0.9097893,29.439741507142134,0.8495488403955157,Platte_20220516_Maize_005_0023.png
16224,0,160,16299,0,85,nan,0.661138,27.269669145354,0.8409761982756908,Platte_20220516_Maize_005_0024.png
16101,0,283,16211,0,173,nan,0.688549,27.938433461278315,0.8404828545070956,Platte_20220516_Maize_005_0025.png
16335,0,49,16376,0,8,nan,0.28054252,26.965415654731327,0.8206535077007401,Platte_20220516_Maize_005_0026.png
16248,0,136,16292,0,92,nan,0.7630501,34.129514324000986,0.8767407544677589,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,35.19411158997734,0.9141881487531104,Platte_20220516_Maize_005_0028.png
16222,0,162,16274,0,110,nan,0.7205034,27.609531526999987,0.8326437898367449,Platte_20220516_Maize_005_0029.png
16249,0,135,16260,0,124,nan,0.91880465,33.93375176303482,0.897909068081295,Platte_20220516_Maize_005_0030.png
16222,0,162,16303,0,81,nan,0.5925146,27.15839381009704,0.833534173275919,Platte_20220516_Maize_005_0031.png
16279,0,105,16322,0,62,nan,0.70645016,27.46071851641069,0.8361924368117425,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,31.004562083058197,0.8734370878935116,Platte_20220516_Maize_005_0033.png
15792,0,592,15771,0,613,nan,0.9012223,30.77243383650488,0.8638167185008152,Platte_20220516_Maize_005_0034.png
16244,0,140,16299,0,85,nan,0.6754592,28.42243141268247,0.8479497371932719,Platte_20220516_Maize_005_0035.png
15842,0,542,15855,0,529,nan,0.94301695,27.879537481500787,0.8408390231363295,Platte_20220516_Maize_005_0036.png
15700,0,684,15778,0,606,nan,0.858895,36.80713899676553,0.9359932871754156,Platte_20220516_Maize_005_0037.png
15170,1214,0,15665,555,164,0.6240719,1.9998001e-06,29.92177847968098,0.8663908429606771,Platte_20220516_Maize_005_0038.png
14758,1626,0,15099,1285,0,0.85742986,nan,28.75910548877361,0.8678826326622785,Platte_20220516_Maize_005_0039.png
15711,634,39,15830,478,76,0.8039352,0.2086382,29.24923682742595,0.8766538593169266,Platte_20220516_Maize_005_0040.png
14539,1845,0,14782,1602,0,0.9115108,nan,29.999666829482322,0.8740840639792693,Platte_20220516_Maize_005_0041.png
14348,2036,0,14697,1687,0,0.89604604,nan,30.193120518924083,0.8699986713644959,Platte_20220516_Maize_005_0042.png
14351,1954,79,14741,1642,1,0.8715182,1.9995907e-06,29.206534121923802,0.8796859297860012,Platte_20220516_Maize_005_0043.png
14145,1896,343,14404,1780,200,0.79705715,0.0994435,30.580166704877353,0.8965848291361377,Platte_20220516_Maize_005_0044.png
13971,2413,0,14484,1899,1,0.8724445,1.9682705e-06,29.28401178873909,0.8728531554057142,Platte_20220516_Maize_005_0045.png
11262,5122,0,11503,318,4563,0.115442485,1.9999932e-06,32.494571543046206,0.9035089236434927,Platte_20220516_Maize_005_0046.png
11037,5347,0,11600,2770,2014,0.6687193,1.9999839e-06,29.743720245677494,0.8810120346180464,Platte_20220516_Maize_005_0047.png
13829,2555,0,14145,2239,0,0.916141,nan,29.9441928997974,0.8929277350499404,Platte_20220516_Maize_005_0048.png
14422,1493,469,14694,1292,398,0.8955034,0.860408,29.72660455539474,0.8670912170934564,Platte_20220516_Maize_005_0049.png
14991,1393,0,15108,541,735,0.51809055,1.9999554e-06,32.30795328253168,0.883549028480704,Platte_20220516_Maize_005_0050.png
14633,1751,0,14797,1578,9,0.90957576,1.9963722e-06,29.14057119851886,0.8673898848608141,Platte_20220516_Maize_005_0051.png
12493,3891,0,12851,2535,998,0.75723445,1.9999675e-06,32.33482121902315,0.9056920477739251,Platte_20220516_Maize_005_0052.png
14593,1650,141,14776,1608,0,0.880288,1.9997676e-06,29.72213730837494,0.8799625672978527,Platte_20220516_Maize_005_0053.png
13582,2294,508,13822,1752,810,0.8452747,0.7192559,28.967894490032307,0.8583999459052994,Platte_20220516_Maize_005_0054.png
13246,3138,0,13619,1945,820,0.733816,1.9999597e-06,31.72952983194388,0.8794290911149844,Platte_20220516_Maize_005_0055.png
12977,3407,0,13158,565,2661,0.27945593,1.999988e-06,29.47692794806054,0.8745799568548597,Platte_20220516_Maize_005_0056.png
14789,1595,0,14906,1478,0,0.91245586,nan,29.23237336263982,0.8407894198073881,Platte_20220516_Maize_005_0057.png
13870,2051,463,14028,1863,493,0.8921767,0.7991378,33.52354008198772,0.9045801001404273,Platte_20220516_Maize_005_0058.png
14213,2171,0,14529,1776,79,0.87458324,1.9995853e-06,27.661185421793746,0.8664715091623272,Platte_20220516_Maize_005_0059.png
14439,1707,238,14731,1633,20,0.85747886,0.13176817,30.09559232472398,0.8795839418432374,Platte_20220516_Maize_005_0060.png
14110,2274,0,14171,2213,0,0.9213237,nan,34.835667011039476,0.9217139873802184,Platte_20220516_Maize_005_0061.png
14453,1779,152,14645,1678,61,0.8556493,1.9998463e-06,30.488574213277893,0.889316791722926,Platte_20220516_Maize_005_0062.png
14498,1886,0,14789,1574,21,0.8901673,1.9984418e-06,28.807351463852726,0.8576128949504982,Platte_20220516_Maize_005_0063.png
16237,0,147,16290,0,94,nan,0.7135978,29.113434647735325,0.861507065480995,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,29.50317660683844,0.8526312185556922,Platte_20220516_Maize_049_0001.png
16236,0,148,16296,0,88,nan,0.7456612,30.636218469042436,0.8728486266857933,Platte_20220516_Maize_049_0002.png
16073,0,311,16168,0,216,nan,0.76655775,30.658449559401674,0.8587128080884879,Platte_20220516_Maize_049_0003.png
16308,0,76,16384,0,0,9.999696e-07,1.9995691e-06,32.95961225190628,0.9116928039242888,Platte_20220516_Maize_049_0004.png
16214,0,170,16296,0,88,nan,0.65108204,31.134028366516056,0.8983454599455243,Platte_20220516_Maize_049_0005.png
16041,0,343,16138,0,246,nan,0.8148971,27.833736618656904,0.8295558446962672,Platte_20220516_Maize_049_0006.png
16208,0,176,16229,0,155,nan,0.78542274,31.650166965862248,0.8823508080938351,Platte_20220516_Maize_049_0007.png
16183,0,201,16260,0,124,nan,0.74454224,30.75436003245311,0.8711945498426132,Platte_20220516_Maize_049_0008.png
16045,0,339,16069,0,315,nan,0.83788043,28.24252224029314,0.8507508937632701,Platte_20220516_Maize_049_0009.png
16344,0,40,16384,0,0,9.999696e-07,1.9991814e-06,33.64336372770329,0.8910996366294381,Platte_20220516_Maize_049_0010.png
16342,0,42,16384,0,0,9.999696e-07,1.99922e-06,33.48195986090336,0.9005369417779852,Platte_20220516_Maize_049_0011.png
16202,0,182,16272,0,112,nan,0.7006042,27.489225859917443,0.82973327355867,Platte_20220516_Maize_049_0012.png
16350,0,34,16384,0,0,9.999696e-07,1.9990375e-06,29.34641811661688,0.8726711387724153,Platte_20220516_Maize_049_0013.png
16360,0,24,16384,0,0,9.999696e-07,1.9986364e-06,28.136514368674106,0.8279505209334573,Platte_20220516_Maize_049_0014.png
16276,0,108,16343,0,41,nan,0.52337676,27.2416734992387,0.8236787176411617,Platte_20220516_Maize_049_0015.png
15982,0,402,16136,0,248,nan,0.7322727,28.28631248608374,0.8483134512085165,Platte_20220516_Maize_049_0016.png
16189,0,195,16216,0,168,nan,0.7602638,28.16567121084587,0.8178271851027069,Platte_20220516_Maize_049_0017.png
16015,0,369,16050,0,334,nan,0.9103436,35.22646285783705,0.9096441724547968,Platte_20220516_Maize_049_0018.png
