Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16373,0,11,nan,0.21352631,24.756885814659114,0.6093592005689048,Platte_20220516_Maize_005_0000.png
16238,0,146,16299,0,85,nan,0.7358282,24.19387684869136,0.5578554244695155,Platte_20220516_Maize_005_0001.png
16211,0,173,16330,0,54,nan,0.4757042,24.243808740194485,0.5718367657253495,Platte_20220516_Maize_005_0002.png
16294,0,90,16364,0,20,nan,0.32717723,25.068416874971874,0.5741715601728501,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,28.2706177494465,0.7153082376172771,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,26.593029492911604,0.608102533699921,Platte_20220516_Maize_005_0005.png
15943,0,441,16200,154,30,1.9997867e-06,0.11039772,25.115075272467912,0.5764966365110781,Platte_20220516_Maize_005_0006.png
16183,0,201,16224,0,160,nan,0.7810946,23.59496500788788,0.5296230590746406,Platte_20220516_Maize_005_0007.png
16164,0,220,16177,0,207,nan,0.8477121,25.23409526661017,0.5943932808281337,Platte_20220516_Maize_005_0008.png
15776,0,608,15818,0,566,nan,0.84665656,24.696187558364127,0.6375119203634799,Platte_20220516_Maize_005_0009.png
15156,0,1228,15296,0,1088,nan,0.85923,25.346928069373035,0.6100518860148785,Platte_20220516_Maize_005_0010.png
16196,0,188,16262,0,122,nan,0.73540807,24.472748623152697,0.5872646969344706,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,28.118438815852215,0.658861303944762,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,29.82401569116302,0.7244550499424913,Platte_20220516_Maize_005_0013.png
16248,0,136,16309,0,75,nan,0.6539289,25.070444548515667,0.549818506551151,Platte_20220516_Maize_005_0014.png
16268,0,116,16261,0,123,nan,0.8116061,25.068763922475526,0.5976104627163775,Platte_20220516_Maize_005_0015.png
16244,0,140,16288,0,96,nan,0.745661,25.34179506983001,0.60648847598824,Platte_20220516_Maize_005_0016.png
16154,0,230,16171,0,213,nan,0.83064044,24.82057060105752,0.5965893156773111,Platte_20220516_Maize_005_0017.png
16136,0,248,16193,0,191,nan,0.76076525,23.561007081345238,0.5411750547000344,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,25.786147870417967,0.5896565962349333,Platte_20220516_Maize_005_0019.png
16204,16,164,16267,0,117,1.9979564e-06,0.7472457,27.609012005576567,0.6298643995771961,Platte_20220516_Maize_005_0020.png
16173,0,211,16223,0,161,nan,0.8063824,26.766851612276238,0.6181158888703716,Platte_20220516_Maize_005_0021.png
16042,0,342,16207,0,177,nan,0.64350665,29.532365839579047,0.6890776247666978,Platte_20220516_Maize_005_0022.png
15521,0,863,15461,0,923,nan,0.9103998,25.639973563639384,0.5642907851648135,Platte_20220516_Maize_005_0023.png
16224,0,160,16319,0,65,nan,0.55992043,23.592794343098884,0.5579804310005686,Platte_20220516_Maize_005_0024.png
16101,0,283,16246,0,138,nan,0.6270316,24.298848884465386,0.55420459938507,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,23.37451402951043,0.5196688622270661,Platte_20220516_Maize_005_0026.png
16248,0,136,16370,0,14,nan,0.18662786,30.524764757893866,0.6796687466793884,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,30.82752526098924,0.7309060775804331,Platte_20220516_Maize_005_0028.png
16222,0,162,16317,0,67,nan,0.558874,24.00784801445854,0.5555207693031087,Platte_20220516_Maize_005_0029.png
16249,0,135,16269,0,115,nan,0.9038835,29.381768736124915,0.6623352348495071,Platte_20220516_Maize_005_0030.png
