Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,21.871202431131223,0.2561825107409768,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,22.0997256668285,0.22867784156084103,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,21.76737880715939,0.21567348880513873,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,22.65842815295491,0.2556972849088042,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,25.07741282902267,0.41590329711112983,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,24.474467248852587,0.3374116296722545,Platte_20220516_Maize_005_0005.png
15943,0,441,16384,0,0,9.999696e-07,1.9999256e-06,22.57257414785652,0.2438815223807124,Platte_20220516_Maize_005_0006.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,21.459202833569726,0.19590074390562165,Platte_20220516_Maize_005_0007.png
16164,0,220,16384,0,0,9.999696e-07,1.999851e-06,22.59322113838339,0.24574165628377923,Platte_20220516_Maize_005_0008.png
15776,0,608,15981,403,0,1.9999188e-06,1.999946e-06,21.732330327709533,0.265992685101434,Platte_20220516_Maize_005_0009.png
15156,0,1228,15374,0,1010,nan,0.69883007,22.69668196518911,0.26980512451165595,Platte_20220516_Maize_005_0010.png
16196,0,188,16384,0,0,9.999696e-07,1.9998256e-06,22.162104271376336,0.261152584155483,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,25.723446371814894,0.39811241055195534,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,26.875453559903278,0.49066894963184954,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,22.883072522053702,0.2519249043559345,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,22.798411676527945,0.28663802547912015,Platte_20220516_Maize_005_0015.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,22.85160131142721,0.2615333207072373,Platte_20220516_Maize_005_0016.png
16154,0,230,16224,0,160,nan,0.68199605,22.154861953077972,0.25361717349328056,Platte_20220516_Maize_005_0017.png
16136,0,248,16384,0,0,9.999696e-07,1.9998681e-06,21.295114108991182,0.20272784567223026,Platte_20220516_Maize_005_0018.png
