Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,23.455171136770385,0.43315046440681265,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,23.314210045383454,0.38744359541273193,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,23.004826536860833,0.37305821010235046,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,23.976016306467397,0.4068589276146872,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,26.82554473806521,0.5696507115891051,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,25.634632667041174,0.4677255997205482,Platte_20220516_Maize_005_0005.png
15943,0,441,16384,0,0,9.999696e-07,1.9999256e-06,23.880463842027183,0.396365792037354,Platte_20220516_Maize_005_0006.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,22.66697648784794,0.3561753393472591,Platte_20220516_Maize_005_0007.png
16164,0,220,16162,0,222,nan,0.80084765,23.854275140713664,0.4014514400934506,Platte_20220516_Maize_005_0008.png
15776,0,608,15802,0,582,nan,0.7949384,23.327040829179776,0.45427523609901677,Platte_20220516_Maize_005_0009.png
15156,0,1228,15139,8,1237,1.9959214e-06,0.8502951,24.001112271908678,0.42658078946050604,Platte_20220516_Maize_005_0010.png
16196,0,188,16234,0,150,nan,0.7750747,23.35440757442609,0.4081654298355699,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,27.130332823309885,0.5377707662141468,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,28.45266689050128,0.6152031931529391,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,24.089317806109463,0.3884153627851874,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,23.844524958348885,0.41826516477048964,Platte_20220516_Maize_005_0015.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,24.155213398190362,0.4207685490058528,Platte_20220516_Maize_005_0016.png
16154,0,230,16140,0,244,nan,0.81851083,23.46862880245494,0.4043145167491238,Platte_20220516_Maize_005_0017.png
16136,0,248,16384,0,0,9.999696e-07,1.9998681e-06,22.567786209570105,0.36821951271911874,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,24.860192827719125,0.42561593930149044,Platte_20220516_Maize_005_0019.png
16204,16,164,16384,0,0,1.9979564e-06,1.9998004e-06,26.572520869783233,0.49275301965600865,Platte_20220516_Maize_005_0020.png
16173,0,211,16384,0,0,9.999696e-07,1.9998445e-06,25.40382814706293,0.4509621123038236,Platte_20220516_Maize_005_0021.png
16042,0,342,16384,0,0,9.999696e-07,1.9999043e-06,28.578575039549143,0.5901575537995698,Platte_20220516_Maize_005_0022.png
15521,0,863,15311,0,1073,nan,0.8687891,24.65027885119087,0.41027183851128884,Platte_20220516_Maize_005_0023.png
16224,0,160,16384,0,0,9.999696e-07,1.9997951e-06,22.535209757347317,0.37626621181963554,Platte_20220516_Maize_005_0024.png
16101,0,283,16384,0,0,9.999696e-07,1.9998843e-06,23.300557820471276,0.3877580542699661,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,22.50249357938251,0.35924570502340286,Platte_20220516_Maize_005_0026.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,29.810307598292155,0.6115938671368607,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,29.79442461420653,0.6432344958178604,Platte_20220516_Maize_005_0028.png
16222,0,162,16384,0,0,9.999696e-07,1.9997976e-06,22.976669201853195,0.3760941049787094,Platte_20220516_Maize_005_0029.png
16249,0,135,16384,0,0,9.999696e-07,1.9997574e-06,28.422727190107683,0.5603680272981396,Platte_20220516_Maize_005_0030.png
16222,0,162,16384,0,0,9.999696e-07,1.9997979e-06,22.556185148855796,0.3627809449706199,Platte_20220516_Maize_005_0031.png
16279,0,105,16384,0,0,9.999696e-07,1.9996878e-06,22.71209482973508,0.35681850977928464,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,25.625564765353538,0.47186919492382656,Platte_20220516_Maize_005_0033.png
15792,0,592,15704,0,680,nan,0.883627,25.574425042135044,0.4374943726237892,Platte_20220516_Maize_005_0034.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,23.71882100529319,0.40959822080049296,Platte_20220516_Maize_005_0035.png
15842,0,542,15794,0,590,nan,0.913403,23.081734887568025,0.36809015698925784,Platte_20220516_Maize_005_0036.png
15700,0,684,15790,0,594,nan,0.79027927,30.47597441865395,0.6745991197309534,Platte_20220516_Maize_005_0037.png
15170,1214,0,15588,0,796,1.999973e-06,1.9999588e-06,24.799938411156603,0.45504231699367237,Platte_20220516_Maize_005_0038.png
14758,1626,0,15073,1311,0,0.859373,nan,23.634055481242257,0.45548736142249524,Platte_20220516_Maize_005_0039.png
15711,634,39,15741,0,643,1.9999482e-06,1.9999518e-06,23.698426236743227,0.4267838604532354,Platte_20220516_Maize_005_0040.png
14539,1845,0,14756,1624,4,0.91495466,1.9918748e-06,24.81188211194352,0.46491747337774053,Platte_20220516_Maize_005_0041.png
14348,2036,0,14649,1735,0,0.900021,nan,25.202326527675396,0.4816966636103334,Platte_20220516_Maize_005_0042.png
14351,1954,79,14586,752,1046,0.5343637,1.999971e-06,23.38192832442436,0.4225785580400394,Platte_20220516_Maize_005_0043.png
14145,1896,343,14464,1920,0,0.8050267,1.9999045e-06,24.551906250078424,0.4817654836705884,Platte_20220516_Maize_005_0044.png
13971,2413,0,14229,0,2155,1.9999868e-06,1.999985e-06,24.217780791345533,0.4664156954715379,Platte_20220516_Maize_005_0045.png
11262,5122,0,11334,3573,1477,0.7728571,1.999978e-06,26.392477852939287,0.5749775164527219,Platte_20220516_Maize_005_0046.png
11037,5347,0,11057,2346,2981,0.58468693,1.9999893e-06,24.219556858271257,0.4881238366450529,Platte_20220516_Maize_005_0047.png
13829,2555,0,14034,2350,0,0.92476666,nan,24.111170464537924,0.49848643960756295,Platte_20220516_Maize_005_0048.png
14422,1493,469,14628,1361,395,0.88786876,0.82173026,24.71929195814745,0.46988863762070193,Platte_20220516_Maize_005_0049.png
14991,1393,0,15035,669,680,0.5935912,1.9999518e-06,27.05259911638595,0.5474076042729829,Platte_20220516_Maize_005_0050.png
14633,1751,0,14792,592,1000,0.49081907,1.999967e-06,24.19014346186021,0.45383746519247525,Platte_20220516_Maize_005_0051.png
12493,3891,0,12566,2665,1153,0.75960773,1.9999718e-06,26.634770946382304,0.5751935522746868,Platte_20220516_Maize_005_0052.png
14593,1650,141,14702,1682,0,0.89735234,1.9997676e-06,24.32234219850966,0.4609401957260788,Platte_20220516_Maize_005_0053.png
13582,2294,508,13626,2184,574,0.934341,0.89461476,23.946576119176815,0.4439190587820148,Platte_20220516_Maize_005_0054.png
13246,3138,0,13325,1233,1826,0.5344296,1.9999823e-06,26.160411557262748,0.5268605011587592,Platte_20220516_Maize_005_0055.png
12977,3407,0,12697,0,3687,1.9999907e-06,1.9999914e-06,24.18822254468234,0.45799481716181845,Platte_20220516_Maize_005_0056.png
14789,1595,0,14827,1557,0,0.9187743,nan,24.54890050004562,0.40490129507382605,Platte_20220516_Maize_005_0057.png
13870,2051,463,13904,2043,437,0.9027795,0.7333087,28.018695527184523,0.6052911214705229,Platte_20220516_Maize_005_0058.png
14213,2171,0,14340,666,1378,0.44765288,1.9999763e-06,22.386903216755538,0.4284319806359243,Platte_20220516_Maize_005_0059.png
14439,1707,238,14671,1210,503,0.7061994,1.9999559e-06,24.746928969315242,0.4771520016214969,Platte_20220516_Maize_005_0060.png
14110,2274,0,14041,2343,0,0.91444224,nan,28.64734922138134,0.6272284665593355,Platte_20220516_Maize_005_0061.png
14453,1779,152,14809,1480,95,0.8137405,1.9998674e-06,24.93262981951375,0.5005265425811701,Platte_20220516_Maize_005_0062.png
14498,1886,0,14653,1731,0,0.90295243,nan,24.056575728089264,0.4600844461122599,Platte_20220516_Maize_005_0063.png
16237,0,147,16384,0,0,9.999696e-07,1.999777e-06,23.925588215628252,0.4073331366595849,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,24.700342037899254,0.40620060483868753,Platte_20220516_Maize_049_0001.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,25.385619467787745,0.4610872186393647,Platte_20220516_Maize_049_0002.png
16073,0,311,16384,0,0,9.999696e-07,1.9998947e-06,25.709347297636786,0.4425195185525017,Platte_20220516_Maize_049_0003.png
16308,0,76,16384,0,0,9.999696e-07,1.9995691e-06,26.99608209237633,0.5636894877240892,Platte_20220516_Maize_049_0004.png
16214,0,170,16384,0,0,9.999696e-07,1.9998072e-06,25.16079720424466,0.48209515971276123,Platte_20220516_Maize_049_0005.png
16041,0,343,16378,0,6,nan,0.034382723,23.064378319246536,0.34463047282562176,Platte_20220516_Maize_049_0006.png
16208,0,176,16384,0,0,9.999696e-07,1.9998135e-06,26.203314440699454,0.5018168733382512,Platte_20220516_Maize_049_0007.png
