Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,23.68668877509647,0.46229803010613324,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,23.496260405716953,0.4159529933952714,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,23.201332681063956,0.4016666692496715,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,24.18230541560339,0.4344962547654392,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,27.057077887532024,0.592539108267911,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,25.791291809137338,0.4893944816558382,Platte_20220516_Maize_005_0005.png
15943,0,441,16379,5,0,1.9934896e-06,1.9999256e-06,24.090740610036526,0.423523589571541,Platte_20220516_Maize_005_0006.png
16183,0,201,16237,0,147,nan,0.7125786,22.835855657058545,0.3835801713540175,Platte_20220516_Maize_005_0007.png
16164,0,220,16134,0,250,nan,0.83824146,24.019628359315565,0.4270985854004059,Platte_20220516_Maize_005_0008.png
15776,0,608,15810,0,574,nan,0.8020105,23.542112766881242,0.4839634792173417,Platte_20220516_Maize_005_0009.png
15156,0,1228,15150,0,1234,nan,0.8692026,24.185363064637574,0.45294369554034986,Platte_20220516_Maize_005_0010.png
16196,0,188,16237,0,147,nan,0.76410633,23.520468235096942,0.43303640648137703,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,27.321843206544575,0.5590967849027538,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,28.673168902559777,0.6352609634097911,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,24.259657972254168,0.41283047306811277,Platte_20220516_Maize_005_0014.png
16268,0,116,16360,0,24,nan,0.34277892,23.99482160374438,0.44154971761230294,Platte_20220516_Maize_005_0015.png
16244,0,140,16340,0,44,nan,0.45644242,24.353742319274673,0.4493737409972232,Platte_20220516_Maize_005_0016.png
16154,0,230,16128,0,256,nan,0.806532,23.669212222082106,0.43113573137630273,Platte_20220516_Maize_005_0017.png
16136,0,248,16235,30,119,1.998909e-06,0.5721579,22.75707302861234,0.39695893838664076,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,25.02795888655435,0.45012373591077987,Platte_20220516_Maize_005_0019.png
16204,16,164,16384,0,0,1.9979564e-06,1.9998004e-06,26.755754111643895,0.5154576047735547,Platte_20220516_Maize_005_0020.png
16173,0,211,16340,0,44,nan,0.32152924,25.589352369830458,0.4738630573796145,Platte_20220516_Maize_005_0021.png
16042,0,342,16368,0,16,nan,0.0893793,28.77135054931135,0.6086148923455573,Platte_20220516_Maize_005_0022.png
15521,0,863,15346,0,1038,nan,0.87742,24.812984200882283,0.4339828027771237,Platte_20220516_Maize_005_0023.png
16224,0,160,16384,0,0,9.999696e-07,1.9997951e-06,22.705376684557862,0.4038227474896871,Platte_20220516_Maize_005_0024.png
16101,0,283,16384,0,0,9.999696e-07,1.9998843e-06,23.476309741029905,0.41389481688511814,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,22.67498567339045,0.3854035099403726,Platte_20220516_Maize_005_0026.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,29.96725627438119,0.6248591577817731,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,29.966484934396156,0.6577338915537767,Platte_20220516_Maize_005_0028.png
16222,0,162,16384,0,0,9.999696e-07,1.9997976e-06,23.136576760784948,0.40017206139730327,Platte_20220516_Maize_005_0029.png
16249,0,135,16300,0,84,nan,0.74874836,28.604932866018814,0.5778451775705417,Platte_20220516_Maize_005_0030.png
16222,0,162,16384,0,0,9.999696e-07,1.9997979e-06,22.72245912721306,0.38943784173773394,Platte_20220516_Maize_005_0031.png
16279,0,105,16384,0,0,9.999696e-07,1.9996878e-06,22.887149866562375,0.3846134243474944,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,25.842933442200433,0.4977256161904822,Platte_20220516_Maize_005_0033.png
15792,0,592,15720,0,664,nan,0.8821446,25.7590992967393,0.4626317067532743,Platte_20220516_Maize_005_0034.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,23.894872643400333,0.43747291430644425,Platte_20220516_Maize_005_0035.png
15842,0,542,15804,0,580,nan,0.9144137,23.24581457047011,0.3936027947374421,Platte_20220516_Maize_005_0036.png
15700,0,684,15815,0,569,nan,0.7932775,30.74504556124548,0.6928234180814615,Platte_20220516_Maize_005_0037.png
15170,1214,0,15588,293,503,0.3875184,1.9999347e-06,25.018705188073746,0.48238548325237174,Platte_20220516_Maize_005_0038.png
14758,1626,0,15051,1333,0,0.86582565,nan,23.857526108305734,0.48397090586077446,Platte_20220516_Maize_005_0039.png
15711,634,39,15760,0,624,1.9999482e-06,1.9999507e-06,23.91451969047948,0.45580073182709135,Platte_20220516_Maize_005_0040.png
14539,1845,0,14761,1623,0,0.9163719,nan,25.03402205876695,0.4927067940266005,Platte_20220516_Maize_005_0041.png
14348,2036,0,14648,1736,0,0.8997824,nan,25.444686944974663,0.5083812257208368,Platte_20220516_Maize_005_0042.png
14351,1954,79,14675,1328,381,0.75989705,1.9999286e-06,23.597655364655793,0.45096754919136206,Platte_20220516_Maize_005_0043.png
14145,1896,343,14470,1907,7,0.8051491,1.9999063e-06,24.813916132818573,0.511347884853852,Platte_20220516_Maize_005_0044.png
13971,2413,0,14341,671,1372,0.4332012,1.9999761e-06,24.454990920441254,0.4947520747953078,Platte_20220516_Maize_005_0045.png
11262,5122,0,11406,4132,846,0.84655195,1.9999611e-06,26.75717452482699,0.6031120273890075,Platte_20220516_Maize_005_0046.png
11037,5347,0,11222,2704,2458,0.64811766,1.9999868e-06,24.515298521690006,0.519457134898431,Platte_20220516_Maize_005_0047.png
13829,2555,0,14027,2357,0,0.9246703,nan,24.444950552487462,0.5337211564553558,Platte_20220516_Maize_005_0048.png
14422,1493,469,14631,1408,345,0.88175726,0.7739268,24.914109131772236,0.4926926540279488,Platte_20220516_Maize_005_0049.png
14991,1393,0,15054,763,567,0.641922,1.999942e-06,27.288755611705255,0.5680058081569014,Platte_20220516_Maize_005_0050.png
14633,1751,0,14789,975,620,0.69698584,1.999947e-06,24.38959955544787,0.4797563302486312,Platte_20220516_Maize_005_0051.png
12493,3891,0,12648,2662,1074,0.76483876,1.9999698e-06,27.001239262235725,0.6053786448650164,Platte_20220516_Maize_005_0052.png
14593,1650,141,14700,1684,0,0.8914151,1.9997676e-06,24.57290252358511,0.4916588688076822,Platte_20220516_Maize_005_0053.png
13582,2294,508,13674,1823,887,0.84575695,0.67668873,24.181959442558224,0.4716179555362718,Platte_20220516_Maize_005_0054.png
13246,3138,0,13501,2345,538,0.814515,1.999939e-06,26.42362590480819,0.5521307590913875,Platte_20220516_Maize_005_0055.png
12977,3407,0,12783,0,3601,1.9999907e-06,1.9999911e-06,24.418570549249527,0.4865699422192596,Platte_20220516_Maize_005_0056.png
14789,1595,0,14835,1549,0,0.9172954,nan,24.70542188133792,0.426869752306769,Platte_20220516_Maize_005_0057.png
13870,2051,463,13961,2050,373,0.9012385,0.7176773,28.342917277687807,0.6308278795004948,Platte_20220516_Maize_005_0058.png
14213,2171,0,14377,757,1250,0.4958982,1.999974e-06,22.609907886682073,0.4576685766118933,Platte_20220516_Maize_005_0059.png
14439,1707,238,14694,1422,268,0.7919402,1.9999352e-06,24.99623553069446,0.5061176918087166,Platte_20220516_Maize_005_0060.png
14110,2274,0,14099,2285,0,0.9190567,nan,29.01165165521342,0.6518134021566709,Platte_20220516_Maize_005_0061.png
14453,1779,152,14774,1511,99,0.8230942,1.9998693e-06,25.19725540311555,0.5293497983767376,Platte_20220516_Maize_005_0062.png
14498,1886,0,14663,1721,0,0.9021289,nan,24.290742285375863,0.48875544919064057,Platte_20220516_Maize_005_0063.png
16237,0,147,16361,0,23,nan,0.27053806,24.097421787227145,0.4320025345660914,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,24.865545313222555,0.4303053395440954,Platte_20220516_Maize_049_0001.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,25.57633286738147,0.4857921828673371,Platte_20220516_Maize_049_0002.png
16073,0,311,16384,0,0,9.999696e-07,1.9998947e-06,25.87755406498247,0.4660653946730251,Platte_20220516_Maize_049_0003.png
16308,0,76,16384,0,0,9.999696e-07,1.9995691e-06,27.23208654135064,0.5871565145304122,Platte_20220516_Maize_049_0004.png
16214,0,170,16384,0,0,9.999696e-07,1.9998072e-06,25.376092423429718,0.5108372742252304,Platte_20220516_Maize_049_0005.png
16041,0,343,16309,0,75,nan,0.35882553,23.21993089311904,0.3698536786540398,Platte_20220516_Maize_049_0006.png
16208,0,176,16384,0,0,9.999696e-07,1.9998135e-06,26.406458996351777,0.5238377568539704,Platte_20220516_Maize_049_0007.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,25.687770105302516,0.4878645956717123,Platte_20220516_Maize_049_0008.png
16045,0,339,16064,0,320,nan,0.8224193,23.489940305514942,0.42819881359790296,Platte_20220516_Maize_049_0009.png
16344,0,40,16384,0,0,9.999696e-07,1.9991814e-06,28.547604087800362,0.5919789501638112,Platte_20220516_Maize_049_0010.png
16342,0,42,16384,0,0,9.999696e-07,1.99922e-06,28.193736704056175,0.5825064471013164,Platte_20220516_Maize_049_0011.png
16202,0,182,16384,0,0,9.999696e-07,1.99982e-06,23.18553126341406,0.3901351160141789,Platte_20220516_Maize_049_0012.png
16350,0,34,16384,0,0,9.999696e-07,1.9990375e-06,24.25721243445966,0.47730345196320983,Platte_20220516_Maize_049_0013.png
16360,0,24,16384,0,0,9.999696e-07,1.9986364e-06,23.85245327265808,0.4259509980827985,Platte_20220516_Maize_049_0014.png
16276,0,108,16384,0,0,9.999696e-07,1.9996965e-06,23.041810678314263,0.3931851155163983,Platte_20220516_Maize_049_0015.png
15982,0,402,16325,0,59,nan,0.2559491,23.777458910879695,0.4343025623441827,Platte_20220516_Maize_049_0016.png
16189,0,195,16384,0,0,9.999696e-07,1.999832e-06,23.978115577885866,0.3757646488019785,Platte_20220516_Maize_049_0017.png
16015,0,369,16110,0,274,nan,0.8397725,29.778350294449965,0.6220022424342929,Platte_20220516_Maize_049_0018.png
16106,0,278,16172,0,212,nan,0.76321626,30.314881495208695,0.6634956478490177,Platte_20220516_Maize_049_0019.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,23.93978318562827,0.386828772967335,Platte_20220516_Maize_049_0020.png
16304,0,80,16384,0,0,9.999696e-07,1.9995905e-06,29.39515147634992,0.6438160590457356,Platte_20220516_Maize_049_0021.png
16309,0,75,16384,0,0,9.999696e-07,1.9995634e-06,27.244475907793323,0.5707449898651963,Platte_20220516_Maize_049_0022.png
15933,0,451,15974,0,410,nan,0.76420045,27.47188627811955,0.57280488186931,Platte_20220516_Maize_049_0023.png
16050,0,334,16304,0,80,nan,0.29949516,23.63250745592897,0.40049082020602933,Platte_20220516_Maize_049_0024.png
16140,0,244,16192,0,192,nan,0.7797598,24.37169416519726,0.4255574854659628,Platte_20220516_Maize_049_0025.png
16213,0,171,16237,0,147,nan,0.77979577,24.004328845473953,0.4100178261642738,Platte_20220516_Maize_049_0026.png
16316,0,68,16384,0,0,9.999696e-07,1.9995184e-06,25.531170542747027,0.47732643006096614,Platte_20220516_Maize_049_0027.png
16293,0,91,16384,0,0,9.999696e-07,1.99964e-06,29.021962584294094,0.6170877774568675,Platte_20220516_Maize_049_0028.png
16183,0,201,16213,0,171,nan,0.80638254,24.027148108656316,0.4032461917418025,Platte_20220516_Maize_049_0029.png
16151,0,233,16190,0,194,nan,0.8289783,29.174343033033633,0.6227837830213989,Platte_20220516_Maize_049_0030.png
16193,0,191,16384,0,0,9.999696e-07,1.9998283e-06,27.380903340390642,0.5983770780018113,Platte_20220516_Maize_049_0031.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,22.89835440061292,0.398851950083438,Platte_20220516_Maize_049_0032.png
