Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,22.46055144075425,0.3052097900081369,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,22.316301501022934,0.2594430198019226,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,21.943662619232335,0.23720393360725237,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,22.88851793615717,0.27631197431524274,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,25.075652111156813,0.422584431418135,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,24.442891665540504,0.3398974922589361,Platte_20220516_Maize_005_0005.png
15943,0,441,16384,0,0,9.999696e-07,1.9999256e-06,22.703462124304274,0.2622519821443942,Platte_20220516_Maize_005_0006.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,21.683018585496626,0.22595383304238928,Platte_20220516_Maize_005_0007.png
16164,0,220,16384,0,0,9.999696e-07,1.999851e-06,22.612854591260657,0.25421946223526376,Platte_20220516_Maize_005_0008.png
15776,0,608,16384,0,0,9.999696e-07,1.999946e-06,22.08986776224097,0.3092305669888107,Platte_20220516_Maize_005_0009.png
15156,0,1228,15715,0,669,nan,0.5735294,22.72296325138917,0.27820300517586793,Platte_20220516_Maize_005_0010.png
16196,0,188,16384,0,0,9.999696e-07,1.9998256e-06,22.242233129522443,0.27140724578696696,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,25.599376733396262,0.39361162856646636,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,26.67707870109308,0.48371051106257273,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,22.994890016701813,0.2624171616009759,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,22.668451243902503,0.28032276745482393,Platte_20220516_Maize_005_0015.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,22.877696134436484,0.273330085786951,Platte_20220516_Maize_005_0016.png
16154,0,230,16384,0,0,9.999696e-07,1.9998577e-06,22.340415581770184,0.2706276037300251,Platte_20220516_Maize_005_0017.png
16136,0,248,16384,0,0,9.999696e-07,1.9998681e-06,21.64532298468138,0.24778280899893526,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,23.58756750397777,0.277094726362132,Platte_20220516_Maize_005_0019.png
16204,16,164,16384,0,0,1.9979564e-06,1.9998004e-06,25.198841658344588,0.3573722409651254,Platte_20220516_Maize_005_0020.png
16173,0,211,16384,0,0,9.999696e-07,1.9998445e-06,24.075952360162056,0.3163416562487749,Platte_20220516_Maize_005_0021.png
16042,0,342,16384,0,0,9.999696e-07,1.9999043e-06,26.92181636743711,0.45834842786786195,Platte_20220516_Maize_005_0022.png
15521,0,863,15518,0,866,nan,0.6801511,23.51580301418828,0.2880961212799616,Platte_20220516_Maize_005_0023.png
16224,0,160,16384,0,0,9.999696e-07,1.9997951e-06,21.550728092328363,0.24392597289107898,Platte_20220516_Maize_005_0024.png
16101,0,283,16384,0,0,9.999696e-07,1.9998843e-06,22.397843070713076,0.27068716890024397,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,21.632550190362632,0.24382650214520307,Platte_20220516_Maize_005_0026.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,28.499177280249846,0.5268931203226787,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,28.096676566086252,0.5269586409515178,Platte_20220516_Maize_005_0028.png
16222,0,162,16384,0,0,9.999696e-07,1.9997976e-06,22.007409323291,0.2449420681626547,Platte_20220516_Maize_005_0029.png
16249,0,135,16384,0,0,9.999696e-07,1.9997574e-06,26.986923905128588,0.4445973760417455,Platte_20220516_Maize_005_0030.png
16222,0,162,16384,0,0,9.999696e-07,1.9997979e-06,21.59000317600171,0.22906391302413417,Platte_20220516_Maize_005_0031.png
16279,0,105,16384,0,0,9.999696e-07,1.9996878e-06,21.74890159677826,0.22806096091977826,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,24.297732379005666,0.3340437343975138,Platte_20220516_Maize_005_0033.png
