Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,24.205357167484625,0.6331110567680067,Platte_20220516_Maize_005_0000.png
16238,0,146,16300,0,84,nan,0.70424926,23.729116790269234,0.5514151423070955,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,23.800443016819113,0.5858932524951077,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,24.593213086820448,0.5963590218445284,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,26.92340456496336,0.7230080623267044,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,26.141284391222403,0.6468022595522993,Platte_20220516_Maize_005_0005.png
15943,0,441,16178,6,200,1.9945692e-06,0.57407576,24.73981076717652,0.6071734494463986,Platte_20220516_Maize_005_0006.png
16183,0,201,16212,0,172,nan,0.793498,23.33623454670766,0.5382065384191916,Platte_20220516_Maize_005_0007.png
16164,0,220,16187,0,197,nan,0.7961025,24.631938512091804,0.6087551672346638,Platte_20220516_Maize_005_0008.png
15776,0,608,15892,0,492,nan,0.7963421,24.228677634363677,0.6465425089916849,Platte_20220516_Maize_005_0009.png
15156,0,1228,15320,0,1064,nan,0.86560917,24.82792287971124,0.6313346709979979,Platte_20220516_Maize_005_0010.png
16196,0,188,16256,0,128,nan,0.7151177,24.37677023589874,0.6281938196873978,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,27.061298115733212,0.6768203232171901,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,28.420686452416547,0.7365033389865943,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,24.35753570145978,0.553278859607507,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,24.484873071197498,0.6122556033174099,Platte_20220516_Maize_005_0015.png
16244,0,140,16373,0,11,nan,0.14566576,24.476863420904177,0.5864842081546758,Platte_20220516_Maize_005_0016.png
16154,0,230,16199,0,185,nan,0.78066325,24.305095859876648,0.6073931527055714,Platte_20220516_Maize_005_0017.png
16136,0,248,16243,23,118,1.9985773e-06,0.54640114,23.409190509781844,0.5589812313855272,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,24.941052259082454,0.5495494428671925,Platte_20220516_Maize_005_0019.png
16204,16,164,16380,0,4,1.9979564e-06,0.04761177,26.805088737124546,0.6500627047475842,Platte_20220516_Maize_005_0020.png
16173,0,211,16253,0,131,nan,0.6841469,25.603073032008844,0.6192987783943127,Platte_20220516_Maize_005_0021.png
16042,0,342,16195,0,189,nan,0.6703938,28.27428930549612,0.6938205535773935,Platte_20220516_Maize_005_0022.png
15521,0,863,15521,0,863,nan,0.8980152,25.16605671748982,0.5885458924193331,Platte_20220516_Maize_005_0023.png
16224,0,160,16301,0,83,nan,0.65012,23.102505399526052,0.5378643348612728,Platte_20220516_Maize_005_0024.png
16101,0,283,16384,0,0,9.999696e-07,1.9998843e-06,24.020086796589407,0.5668385179208775,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,23.665936072301786,0.5804686143907388,Platte_20220516_Maize_005_0026.png
16248,0,136,16289,0,95,nan,0.76179844,29.411510303301146,0.7024211540222799,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,29.28123564362828,0.7380724921354255,Platte_20220516_Maize_005_0028.png
16222,0,162,16384,0,0,9.999696e-07,1.9997976e-06,23.856173719235755,0.5470115674845194,Platte_20220516_Maize_005_0029.png
16249,0,135,16251,0,133,nan,0.8655678,28.469816149560728,0.6873892938567879,Platte_20220516_Maize_005_0030.png
16222,0,162,16384,0,0,9.999696e-07,1.9997979e-06,23.346854769925333,0.5491659732888299,Platte_20220516_Maize_005_0031.png
16279,0,105,16325,0,59,nan,0.6705996,23.513183011360436,0.5475145560261764,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,26.20049567462738,0.6485545655265136,Platte_20220516_Maize_005_0033.png
15792,0,592,15773,0,611,nan,0.89440817,25.92724676455296,0.6041842878458235,Platte_20220516_Maize_005_0034.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,24.683038423856985,0.626995532203915,Platte_20220516_Maize_005_0035.png
15842,0,542,15872,0,512,nan,0.9316618,23.744452225431758,0.5265523811346137,Platte_20220516_Maize_005_0036.png
15700,0,684,15753,0,631,nan,0.84256667,29.477313448435154,0.7524115692521809,Platte_20220516_Maize_005_0037.png
15170,1214,0,15663,494,227,0.5725906,1.9998554e-06,25.548450030349215,0.6423043479277013,Platte_20220516_Maize_005_0038.png
14758,1626,0,15229,1155,0,0.8112116,nan,24.397331161646626,0.634012261074322,Platte_20220516_Maize_005_0039.png
15711,634,39,15890,482,12,0.8082223,1.999358e-06,24.52600810055288,0.6235780496751536,Platte_20220516_Maize_005_0040.png
14539,1845,0,14872,1512,0,0.88590354,nan,25.542561649425725,0.6334616382790892,Platte_20220516_Maize_005_0041.png
14348,2036,0,14787,1597,0,0.8780566,nan,25.9281517404126,0.6624839379321846,Platte_20220516_Maize_005_0042.png
14351,1954,79,14879,1505,0,0.84532523,1.9995853e-06,24.376937381317735,0.6236423906412939,Platte_20220516_Maize_005_0043.png
14145,1896,343,14682,1628,74,0.7911412,1.9999213e-06,25.34058886985763,0.654131761096544,Platte_20220516_Maize_005_0044.png
13971,2413,0,14485,1511,388,0.74923146,1.9999156e-06,24.9861311064187,0.6223005961784512,Platte_20220516_Maize_005_0045.png
11262,5122,0,11850,4364,170,0.90301377,1.999807e-06,26.98359886934112,0.711291472599702,Platte_20220516_Maize_005_0046.png
11037,5347,0,11816,2813,1755,0.68186206,1.9999814e-06,25.12613832531823,0.6465522918213344,Platte_20220516_Maize_005_0047.png
13829,2555,0,14293,2091,0,0.88721055,nan,24.80176280912329,0.6757732181090074,Platte_20220516_Maize_005_0048.png
14422,1493,469,14854,1212,318,0.8739287,0.74202967,25.225779789541527,0.6319329234854594,Platte_20220516_Maize_005_0049.png
14991,1393,0,15173,961,250,0.76974523,1.999869e-06,27.44465535550638,0.6804543114561076,Platte_20220516_Maize_005_0050.png
14633,1751,0,14846,1476,62,0.8819269,1.9994714e-06,25.028233515368576,0.6184254715576543,Platte_20220516_Maize_005_0051.png
12493,3891,0,12995,2581,808,0.77348393,1.9999595e-06,27.197223832410863,0.7167270883793702,Platte_20220516_Maize_005_0052.png
14593,1650,141,14929,1455,0,0.85732,1.9997676e-06,25.046053125734158,0.6393168141554266,Platte_20220516_Maize_005_0053.png
13582,2294,508,13974,1889,521,0.8912216,0.8726664,24.73765096284464,0.6083694703759034,Platte_20220516_Maize_005_0054.png
13246,3138,0,13781,2517,86,0.857999,1.999619e-06,26.638373108995168,0.6749440279740272,Platte_20220516_Maize_005_0055.png
12977,3407,0,13328,567,2489,0.28132838,1.999987e-06,25.269353462451612,0.6453863722835327,Platte_20220516_Maize_005_0056.png
14789,1595,0,14941,1443,0,0.9091432,nan,25.328346437703996,0.5999572383368301,Platte_20220516_Maize_005_0057.png
13870,2051,463,14027,1877,480,0.9012167,0.7910668,28.03361484091799,0.723535783123504,Platte_20220516_Maize_005_0058.png
14213,2171,0,14661,1663,60,0.84454376,1.9994538e-06,23.392349412185844,0.6145141599551562,Platte_20220516_Maize_005_0059.png
14439,1707,238,14768,1467,149,0.8960232,0.6717795,25.598918493148048,0.672258160699866,Platte_20220516_Maize_005_0060.png
14110,2274,0,14217,2167,0,0.9119522,nan,28.71798657665883,0.7509533777440427,Platte_20220516_Maize_005_0061.png
14453,1779,152,14670,1631,83,0.8439822,1.9998604e-06,25.782182907060815,0.6558350676676489,Platte_20220516_Maize_005_0062.png
14498,1886,0,14818,1533,33,0.8791982,1.999008e-06,24.764075627793858,0.6280550209223944,Platte_20220516_Maize_005_0063.png
16237,0,147,16384,0,0,9.999696e-07,1.999777e-06,24.616919395656613,0.6160620798454748,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,24.876065482096827,0.5301769213695898,Platte_20220516_Maize_049_0001.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,25.916804514952116,0.6464721998697595,Platte_20220516_Maize_049_0002.png
16073,0,311,16187,0,197,nan,0.68106043,25.971330169472814,0.6015155881259694,Platte_20220516_Maize_049_0003.png
16308,0,76,16384,0,0,9.999696e-07,1.9995691e-06,27.037022881257684,0.7188110141812188,Platte_20220516_Maize_049_0004.png
16214,0,170,16384,0,0,9.999696e-07,1.9998072e-06,25.725524915492272,0.6525034811047283,Platte_20220516_Maize_049_0005.png
16041,0,343,16187,0,197,nan,0.71847683,23.847858934223748,0.5636902244356728,Platte_20220516_Maize_049_0006.png
16208,0,176,16209,0,175,nan,0.8318331,26.9457025481963,0.6774277924556363,Platte_20220516_Maize_049_0007.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,26.071134435930045,0.6387005195608756,Platte_20220516_Maize_049_0008.png
16045,0,339,16089,0,295,nan,0.84222966,24.12156791329764,0.580545974625395,Platte_20220516_Maize_049_0009.png
16344,0,40,16384,0,0,9.999696e-07,1.9991814e-06,28.05516332298015,0.6919990105705147,Platte_20220516_Maize_049_0010.png
