Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,21.87293091297377,0.3761486813718527,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,21.139018476954973,0.32818764965532204,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,21.888985549582415,0.35346358162119795,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,21.567334054191754,0.3499296237724543,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,24.942191863766684,0.5318494834998643,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,23.56259062225253,0.3922426051534966,Platte_20220516_Maize_005_0005.png
15943,0,441,16384,0,0,9.999696e-07,1.9999256e-06,23.23902014414333,0.38726550621475625,Platte_20220516_Maize_005_0006.png
16183,0,201,15978,0,406,nan,0.5304511,20.55805716937931,0.29190364517719564,Platte_20220516_Maize_005_0007.png
16164,0,220,16018,0,366,nan,0.66549385,22.399428464012022,0.3543314989900717,Platte_20220516_Maize_005_0008.png
15776,0,608,15802,0,582,nan,0.7462002,21.560849416970406,0.4031879217221685,Platte_20220516_Maize_005_0009.png
15156,0,1228,14599,0,1785,nan,0.7467581,22.803223802234974,0.37837109261517754,Platte_20220516_Maize_005_0010.png
16196,0,188,16384,0,0,9.999696e-07,1.9998256e-06,22.09808847065087,0.3533757084687794,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,24.396503158307286,0.4255865421237089,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,26.762811175719246,0.5752485390235739,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,23.043001078204885,0.36676833543844817,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,22.34891937768311,0.3700575891444588,Platte_20220516_Maize_005_0015.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,22.162076774907757,0.3175339268484018,Platte_20220516_Maize_005_0016.png
16154,0,230,16226,0,158,nan,0.6236607,22.399449713534487,0.36271228609015854,Platte_20220516_Maize_005_0017.png
16136,0,248,16384,0,0,9.999696e-07,1.9998681e-06,21.27873358984946,0.32409269249408035,Platte_20220516_Maize_005_0018.png
16320,0,64,16384,0,0,9.999696e-07,1.9994884e-06,23.08383920554094,0.321208202892083,Platte_20220516_Maize_005_0019.png
16204,16,164,16384,0,0,1.9979564e-06,1.9998004e-06,25.001476888137297,0.43793275622408506,Platte_20220516_Maize_005_0020.png
16173,0,211,16304,0,80,nan,0.446687,24.687377461026323,0.4431933795528154,Platte_20220516_Maize_005_0021.png
16042,0,342,16317,2,65,1.9838785e-06,0.28990495,26.11476840389401,0.45485694848285213,Platte_20220516_Maize_005_0022.png
15521,0,863,15177,0,1207,nan,0.7864631,23.41067374783668,0.3593331529286288,Platte_20220516_Maize_005_0023.png
16224,0,160,16384,0,0,9.999696e-07,1.9997951e-06,20.72674972732445,0.31305880188089025,Platte_20220516_Maize_005_0024.png
16101,0,283,16384,0,0,9.999696e-07,1.9998843e-06,22.20633937148922,0.3357009032364385,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,21.193769507176015,0.30394867639232,Platte_20220516_Maize_005_0026.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,28.66785728541445,0.5756993269613696,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,27.960682618574065,0.5628411862630668,Platte_20220516_Maize_005_0028.png
16222,0,162,16384,0,0,9.999696e-07,1.9997976e-06,22.30623060864941,0.3705493046811248,Platte_20220516_Maize_005_0029.png
16249,0,135,16384,0,0,9.999696e-07,1.9997574e-06,26.97249383952892,0.4850871465476743,Platte_20220516_Maize_005_0030.png
16222,0,162,16384,0,0,9.999696e-07,1.9997979e-06,21.164195568030713,0.31747321644238397,Platte_20220516_Maize_005_0031.png
16279,0,105,16384,0,0,9.999696e-07,1.9996878e-06,21.297668105971876,0.301699207339821,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,24.690108116639962,0.4396992067245585,Platte_20220516_Maize_005_0033.png
15792,0,592,15667,0,717,nan,0.7746197,24.233463834053612,0.35744800935580007,Platte_20220516_Maize_005_0034.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,21.56956471591235,0.3302400338297468,Platte_20220516_Maize_005_0035.png
15842,0,542,15471,0,913,nan,0.7188863,21.74644527903288,0.3070227133929308,Platte_20220516_Maize_005_0036.png
15700,0,684,15809,0,575,nan,0.7116595,28.182249285792285,0.5847911371334176,Platte_20220516_Maize_005_0037.png
15170,1214,0,15610,0,774,1.999973e-06,1.9999577e-06,22.31024954824604,0.36053434638700343,Platte_20220516_Maize_005_0038.png
14758,1626,0,15219,1133,32,0.7785358,1.998977e-06,20.685430704955454,0.3460616259088139,Platte_20220516_Maize_005_0039.png
15711,634,39,15428,0,956,1.9999482e-06,0.06231151,21.874526385629235,0.3678200345993468,Platte_20220516_Maize_005_0040.png
14539,1845,0,14889,1455,40,0.8557513,1.9991817e-06,22.236360308775684,0.345419637814,Platte_20220516_Maize_005_0041.png
14348,2036,0,14848,1536,0,0.8560974,nan,23.747612967336018,0.4570885373517202,Platte_20220516_Maize_005_0042.png
14351,1954,79,14759,1503,122,0.78564703,0.14923139,22.35368190853709,0.36135694780538,Platte_20220516_Maize_005_0043.png
14145,1896,343,14536,1300,548,0.7878537,0.5903282,22.873695068608164,0.4162330583602792,Platte_20220516_Maize_005_0044.png
13971,2413,0,13824,7,2553,0.0057870466,1.9999877e-06,22.343580702161688,0.38543264029229446,Platte_20220516_Maize_005_0045.png
11262,5122,0,11621,4688,75,0.90315914,1.9995632e-06,24.032575092413527,0.5063314020161324,Platte_20220516_Maize_005_0046.png
11037,5347,0,11291,3424,1669,0.72922057,1.9999802e-06,23.54364549163374,0.48470907537055297,Platte_20220516_Maize_005_0047.png
13829,2555,0,14266,2118,0,0.8803724,nan,22.158733116398245,0.4565880007684569,Platte_20220516_Maize_005_0048.png
14422,1493,469,14552,1508,324,0.7744023,0.638059,24.026432394683937,0.4642753981501551,Platte_20220516_Maize_005_0049.png
14991,1393,0,15127,1257,0,0.8815008,nan,25.540905610937443,0.5049318248092791,Platte_20220516_Maize_005_0050.png
14633,1751,0,14934,1450,0,0.82786006,nan,22.721694150435138,0.37196523610387056,Platte_20220516_Maize_005_0051.png
12493,3891,0,12853,2861,670,0.7932447,1.9999513e-06,25.44748069290691,0.5548237855037804,Platte_20220516_Maize_005_0052.png
14593,1650,141,14936,1430,18,0.86362934,1.9997938e-06,22.67837087973197,0.411053853173493,Platte_20220516_Maize_005_0053.png
13582,2294,508,13633,2025,726,0.89881456,0.76335305,22.98573168057291,0.4277356973701676,Platte_20220516_Maize_005_0054.png
13246,3138,0,13300,3084,0,0.83445615,nan,24.687527808406475,0.4933051226408527,Platte_20220516_Maize_005_0055.png
12977,3407,0,12991,964,2429,0.43193665,1.9999868e-06,22.265461425752612,0.37555548379691944,Platte_20220516_Maize_005_0056.png
14789,1595,0,14794,1590,0,0.8382981,nan,23.791340757255874,0.367967327530339,Platte_20220516_Maize_005_0057.png
13870,2051,463,14036,2328,20,0.8038326,0.082812116,26.958718642372457,0.5630613897485732,Platte_20220516_Maize_005_0058.png
14213,2171,0,14491,1600,293,0.80561703,1.9998881e-06,20.370079596153676,0.35559170938841755,Platte_20220516_Maize_005_0059.png
14439,1707,238,14984,1390,10,0.86470085,0.080636494,24.003344289552047,0.46742100628684624,Platte_20220516_Maize_005_0060.png
14110,2274,0,14202,2182,0,0.90708697,nan,27.323012420131597,0.6020996763104526,Platte_20220516_Maize_005_0061.png
14453,1779,152,14416,1361,607,0.7948983,1.9999568e-06,21.765303330698842,0.3696193833346842,Platte_20220516_Maize_005_0062.png
14498,1886,0,15062,1322,0,0.8142084,nan,22.49635440761487,0.3716958336141436,Platte_20220516_Maize_005_0063.png
16237,0,147,16384,0,0,9.999696e-07,1.999777e-06,22.493686658571022,0.3419304385877542,Platte_20220516_Maize_049_0000.png
16354,0,30,16384,0,0,9.999696e-07,1.998909e-06,23.066638876100033,0.30968981432736703,Platte_20220516_Maize_049_0001.png
