Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16384,0,0,9.999696e-07,1.999644e-06,22.087812322195074,0.28938439450289577,Platte_20220516_Maize_005_0000.png
16238,0,146,16384,0,0,9.999696e-07,1.9997753e-06,22.296212066199388,0.2605098366545804,Platte_20220516_Maize_005_0001.png
16211,0,173,16384,0,0,9.999696e-07,1.9998106e-06,21.926983096454503,0.24520067781222443,Platte_20220516_Maize_005_0002.png
16294,0,90,16384,0,0,9.999696e-07,1.999636e-06,22.8350845400958,0.28406573062782253,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,25.319952312737406,0.4463318566691663,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,24.59617645403158,0.3616647483502568,Platte_20220516_Maize_005_0005.png
15943,0,441,16384,0,0,9.999696e-07,1.9999256e-06,22.833618646871013,0.2818055394674482,Platte_20220516_Maize_005_0006.png
16183,0,201,16384,0,0,9.999696e-07,1.9998367e-06,21.60989332387188,0.22392230573299732,Platte_20220516_Maize_005_0007.png
16164,0,220,16146,0,238,nan,0.76413953,22.809051479750757,0.28177051746533227,Platte_20220516_Maize_005_0008.png
15776,0,608,15843,0,541,nan,0.7710856,22.03458099318715,0.3073484982405476,Platte_20220516_Maize_005_0009.png
15156,0,1228,15215,0,1169,nan,0.74091816,22.888950005955646,0.3030470334585657,Platte_20220516_Maize_005_0010.png
16196,0,188,16235,0,149,nan,0.75363785,22.30768095612305,0.2894622139178971,Platte_20220516_Maize_005_0011.png
16284,0,100,16384,0,0,9.999696e-07,1.9996723e-06,25.88868886633477,0.42955970191467063,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,27.05176166988371,0.5164012247842521,Platte_20220516_Maize_005_0013.png
16248,0,136,16384,0,0,9.999696e-07,1.999759e-06,23.018325235526298,0.2767490928754818,Platte_20220516_Maize_005_0014.png
16268,0,116,16384,0,0,9.999696e-07,1.9997174e-06,22.93525640369747,0.3157002154100314,Platte_20220516_Maize_005_0015.png
16244,0,140,16384,0,0,9.999696e-07,1.9997658e-06,23.053902870538145,0.2956943521172285,Platte_20220516_Maize_005_0016.png
16154,0,230,16104,0,280,nan,0.78818667,22.37793877002604,0.2865010330636049,Platte_20220516_Maize_005_0017.png
