Mask_class_0,Mask_class_1,Mask_class_2,Pred_class_0,Pred_class_1,Pred_class_2,Dice_class1,Dice_class_2,psnr,ssim,patch name
16292,0,92,16356,0,28,nan,0.46654123,28.51591290005038,0.8634716601825009,Platte_20220516_Maize_005_0000.png
16238,0,146,16271,0,113,nan,0.8415942,27.732126683685678,0.8369901172644543,Platte_20220516_Maize_005_0001.png
16211,0,173,16299,0,85,nan,0.62007815,27.84421801932231,0.844118150197296,Platte_20220516_Maize_005_0002.png
16294,0,90,16331,0,53,nan,0.65719396,28.424816160061333,0.8338673753378204,Platte_20220516_Maize_005_0003.png
16328,0,56,16384,0,0,9.999696e-07,1.999415e-06,32.257529953970064,0.9029086859394161,Platte_20220516_Maize_005_0004.png
16349,0,35,16384,0,0,9.999696e-07,1.9990648e-06,30.288555293236115,0.863762493165963,Platte_20220516_Maize_005_0005.png
15943,0,441,16035,0,349,nan,0.81262666,28.680514211722286,0.843811766666153,Platte_20220516_Maize_005_0006.png
16183,0,201,16199,0,185,nan,0.7771381,27.168741723913094,0.8311927944386879,Platte_20220516_Maize_005_0007.png
16164,0,220,16180,0,204,nan,0.8584262,28.78493047571527,0.8500341710776907,Platte_20220516_Maize_005_0008.png
15776,0,608,15801,0,583,nan,0.858081,28.719802580086906,0.8775906670209982,Platte_20220516_Maize_005_0009.png
15156,0,1228,15269,0,1115,nan,0.86383975,29.053711801959334,0.8601163769707852,Platte_20220516_Maize_005_0010.png
16196,0,188,16254,0,130,nan,0.7357751,28.452445186117153,0.8586858883879488,Platte_20220516_Maize_005_0011.png
16284,0,100,16304,0,80,nan,0.8220746,31.84899380450439,0.8790140682379676,Platte_20220516_Maize_005_0012.png
16236,0,148,16384,0,0,9.999696e-07,1.9997788e-06,33.55451418622482,0.9031240216086928,Platte_20220516_Maize_005_0013.png
16248,0,136,16262,0,122,nan,0.7828483,28.027366418892857,0.8036650789740816,Platte_20220516_Maize_005_0014.png
16268,0,116,16259,0,125,nan,0.821467,28.23518589927323,0.8330741028469381,Platte_20220516_Maize_005_0015.png
16244,0,140,16276,0,108,nan,0.75796616,29.037507684986075,0.8580302401591547,Platte_20220516_Maize_005_0016.png
16154,0,230,16135,0,249,nan,0.8308429,28.505458465110998,0.8479039530229556,Platte_20220516_Maize_005_0017.png
16136,0,248,16183,0,201,nan,0.766093,26.986294538933095,0.8301218449167846,Platte_20220516_Maize_005_0018.png
16320,0,64,16358,0,26,nan,0.510927,29.055752507228437,0.8372640327193878,Platte_20220516_Maize_005_0019.png
16204,16,164,16255,0,129,1.9979564e-06,0.76442164,31.55860240953914,0.8704603670858239,Platte_20220516_Maize_005_0020.png
16173,0,211,16217,0,167,nan,0.79887456,30.04883212049112,0.8492603276059919,Platte_20220516_Maize_005_0021.png
16042,0,342,16145,0,239,nan,0.7710429,33.282912101551425,0.8927440896571591,Platte_20220516_Maize_005_0022.png
15521,0,863,15452,0,932,nan,0.9069494,28.94911278116549,0.8323820649112254,Platte_20220516_Maize_005_0023.png
16224,0,160,16299,0,85,nan,0.66930026,27.119380755092553,0.8361486047204307,Platte_20220516_Maize_005_0024.png
16101,0,283,16213,0,171,nan,0.6739621,27.705876543708147,0.8349532136145236,Platte_20220516_Maize_005_0025.png
16335,0,49,16384,0,0,9.999696e-07,1.9993315e-06,26.76837186167162,0.8149519637990673,Platte_20220516_Maize_005_0026.png
16248,0,136,16299,0,85,nan,0.72387636,33.749316626840084,0.8727762166447849,Platte_20220516_Maize_005_0027.png
16314,0,70,16384,0,0,9.999696e-07,1.999532e-06,34.5001577692632,0.9077680419811406,Platte_20220516_Maize_005_0028.png
16222,0,162,16267,0,117,nan,0.73109883,27.236025204931522,0.8165708810662292,Platte_20220516_Maize_005_0029.png
16249,0,135,16258,0,126,nan,0.9194268,33.39555673467453,0.8914994447202095,Platte_20220516_Maize_005_0030.png
16222,0,162,16301,0,83,nan,0.6040027,26.938319377234244,0.8266576831417777,Platte_20220516_Maize_005_0031.png
16279,0,105,16320,0,64,nan,0.70992345,27.194277251761946,0.8274357816140506,Platte_20220516_Maize_005_0032.png
16341,0,43,16384,0,0,9.999696e-07,1.999239e-06,30.600254925045988,0.866726344986835,Platte_20220516_Maize_005_0033.png
